position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Kids' Clothing - Target,Children Clothes,"['Kids', 'Clothing']",[],"Shop Target for Kids' Clothing you will love at great low prices. Choose from Same Day Delivery, Drive Up or Order Pickup. Free standard shipping with $35 ...",https://www.target.com/c/kids/-/N-xcoz4
2,Kids' Clothes & Baby Clothes - Belk,Children Clothes,"['kids', 'clothes', 'baby clothes']",[],Dress your little one in style with kids' clothes and baby clothes from Belk. Receive free shipping and easy returns on qualifying orders.,https://www.belk.com/kids/
3,Kids' Clothes - Macy's,Children Clothes,"['kids', 'clothes']",[],"FREE SHIPPING & RETURNS! Shop kids' clothes and get great deals & discounts on the latest clothing fashion and trends for kids, in store and online.",https://www.macys.com/shop/kids-clothes?id=5991
4,The Children's Place: Kids Clothes & Baby Clothes,Children Clothes,"[""children's clothes"", 'kids clothes', 'baby clothes']",[],"Shop for children's clothes. From kids clothes to baby clothes, find it all at The Children's Place, where big fashion meets little prices with free shipping!",https://www.childrensplace.com/us/home
5,Find Kids Clothing | Kohl's,Children Clothes,"['kids', 'clothes']",[],"Enjoy free shipping and easy returns on adorable kids' clothes from Kohl's. Find kids' jeans, tops, sweaters, dresses and dress pants and more.",https://www.kohls.com/sale-event/kids-clothing.jsp
6,Kids Clothes (Sizes 4-14) | Carter's | Free Shipping,Children Clothes,['kids clothing'],[],"Shop for fashionable & affordable kids clothing at Carters.com. Explore our assortment of children tops, pants & more available in sizes 4- 14.",https://www.carters.com/kid-clothes
7,"Gymboree: Kids, Toddler & Baby Clothes",Children Clothes,['kids clothes'],[],"Celebrate the magic of childhood with kids clothes in patterns and prints from our latest themed collections. Shop all our styles including dresses, skirts, ...",https://www.gymboree.com/us/home
8,Kids' Clothing & Shoes | Kids & Babies | H&M US,Children Clothes,"['kids', 'clothes']",[],"Kit them out in style with our kids' clothes. Find everyday essentials, kids' shoes and accessories for babies and children at H&M.",https://www2.hm.com/en_us/kids.html
9,"Kids Clothing, Shoes & Accessories - Nordstrom",Children Clothes,['kids clothing'],[],"Free shipping and returns on kids clothing, shoes and accessories at Nordstrom.com. Find everything for boys, girls, and baby from top brands.",https://www.nordstrom.com/browse/kids
10,"Kids' Clothing, Shoes, And More | Girls' and Boys' Clothes | Zulily",Children Clothes,"['kids', 'clothing', 'boys', 'clothes']",[],"Explore kids' clothing at Zulily. Shop daily discounts on girls' and boys' clothes, shoes, and accessories.",https://www.zulily.com/category/kids
