position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Girls' Dresses - Macy's,Girls Dresses,"['dresses', 'girls', 'dresses', 'dresses', 'dresses', 'dresses']",[],"Macy's has a wide selection of dresses for girls, including maxi dresses, sweater dresses, Christmas dresses, Easter dresses, and more from ...",https://www.macys.com/shop/kids-clothes/girls-dresses?id=31460
2,Girls Dresses & Girls Rompers | The Children's Place,Girls Dresses,['girls dresses'],[],"Shop for girls dresses. Find the perfect cute dresses for girls at The Children's Place, where big fashion meets little prices with free shipping!",https://www.childrensplace.com/us/c/girls-dresses
3,"Girls' Dresses | Party Dresses, Maxi & Formal Dresses | H&M US",Girls Dresses,['girl dresses'],[],"Discover casual and special-occasion dresses for girls, including maxi dresses, flower-girl dresses, sparkly party dresses and more at H&M.",https://www2.hm.com/en_us/kids/girls/clothing/dresses.html
4,Girls Dresses | Amazon.com,Girls Dresses,['girls dresses'],[],Shop for girls dresses on Amazon.com. Free shipping and free returns on eligible items.,https://www.amazon.com/Girls-Dresses/b?ie=UTF8&node=1045470
5,Girls' Dresses & Special Occasion Outfits | Dillard's,Girls Dresses,"['Girls', 'Dresses']",[],"Shop our collection of Girls' Dresses from your favorite brands including Xtraordinary, Rare Editions, Chantilly Place and more available at Dillard's.",https://www.dillards.com/c/kids-girls-dresses
6,Girls' Dresses & Rompers | Nordstrom,Girls Dresses,"['Girls', 'Dresses', 'Girl Dresses']",[],"Free Shipping and Returns on Girls' Dresses, Rompers & Jumpsuits at Nordstrom.com. Shop for Party, Casual, First Communion, Flower Girl Dresses & more.",https://www.nordstrom.com/browse/kids/girls/dresses
7,Cute Party & Formal Dresses and Rompers for Girls - Kohl's,Girls Dresses,"['Dresses', 'Girls', 'Dress', 'girls']",[],Dresses for Girls. Dress shopping for your little one can be an exciting experience. Take her wardrobe to the next level with our wide assortment of girls' ...,https://www.kohls.com/catalog/girls-kids-dresses-clothing.jsp?CN=Gender:Girls+AgeAppropriate:Kids+Category:Dresses+Department:Clothing
8,Dresses & Rompers for Girls - Target,Girls Dresses,"['Girls', 'Dresses', 'girls', 'dresses']",[],"Shop for Girls' Dresses & Rompers at Target. Find the perfect girls' dresses for summer, holidays, casual and flower girls.",https://www.target.com/c/dresses-rompers-girls-clothing-kids/-/N-5xtvz
9,Girls Dresses in Girls Clothing - Walmart.com,Girls Dresses,['Girls Dresses'],[],Shop for Girls Dresses in Girls Clothing. Buy products such as Wonder Nation Girls Lurex Dress Sizes 4-18 & Plus at Walmart and save.,https://www.walmart.com/browse/clothing/girls-dresses/5438_7712430_1660851_1920310
10,Girls' Dresses (626) - Kids - Belk,Girls Dresses,"['girls', 'dresses']",[],Make each day a party with dresses for kids. Shop girls' dresses at Belk and get ready to twirl! Shop online and get free shipping on qualifying purchases.,https://www.belk.com/kids/girls-clothing/dresses-skirts/
11,Girls Dresses | Tea Collection,Girls Dresses,"['girls dresses', 'girls dresses']",[],"At Tea, we think girls dresses should be both pretty and powerful. As bold and unique as the girl wearing it. Shop girls dresses at Tea Collection.",https://www.teacollection.com/girls-dresses
12,Daily Deals on Girls' Dresses For All Occasions | Zulily,Girls Dresses,"['girls', 'dresses', 'girls']",[],"Explore affordable girls' casual and special occasion dresses for toddlers, little girls, and tweens at Zulily.",https://www.zulily.com/category/girls-dresses
13,Dresses for Big Girls Size 7-16 - JCPenney,Girls Dresses,['girl dresses'],[],"Select the best big girl dresses at JCPenney. Choose A-line dresses, fit and flare, and more in beautiful patterns and styles. Free shipping is available!",https://www.jcpenney.com/g/baby-kids/dresses-jumpsuits?girls_age_group=big+girls+7-16&id=cat11100000098
14,Girls Dresses – Chasing Fireflies,Girls Dresses,"['dresses', ""girl's"", 'dress']",[],"Our dresses span a girl's lifestyle — from everyday casual wear, to holidays and occasions that call for 'extra special.' Shop her favorite dress at Chasing ...",https://www.chasing-fireflies.com/collections/girls-dresses
15,Girls Dresses for Every Occasion | Hanna Andersson,Girls Dresses,['girls dresses'],[],"Featuring vibrant color and all over softness, our organic cotton girls dresses like our rib dress are the ideal outfit for after school play, special ...",https://www.hannaandersson.com/girls-clothing-dresses/
16,Flower Girl Dresses & Skirts for Girls | M&S US,Girls Dresses,"['dresses', 'dress']",[],"Select the latest dresses & skirts from M&S. Including floral shirt dress, peter pan collars, checked pinafores and much more from ages 5-14 years.",https://www.marksandspencer.com/us/l/kids-girls/dresses-and-skirts/
17,Little Girls' Dresses & Rompers (Size 2-6X) - Bloomingdale's,Girls Dresses,['girls dresses'],[],"Stock up on toddler & little girls dresses & rompers (sizes 2-6x) at Bloomingdale's. Free shipping and returns available, or buy online ...",https://www.bloomingdales.com/shop/kids/little-girls-dresses-rompers?id=1006141
