position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Girls Coats - Shop Jackets for Girls - Macy's,Girls Jackets & Coats,"['girls', 'coats', 'jackets', 'coats', 'jackets', 'girls']",[],Looking for the best collection of girls' coats and jackets available? Shop coats and jackets for girls at Macy's! Free shipping available.,https://www.macys.com/shop/kids-clothes/girls-coats-jackets?id=188692
2,Girls' Coats & Jackets - Target,Girls Jackets & Coats,"['Coats', 'Jackets', 'Girls', 'Jacket']",[],"Shop Target for Coats & Jackets you will love at great low prices. Choose from Same Day Delivery, ... Girls' Hooded Jean Jacket - Cat & Jack™ Light Wash.",https://www.target.com/c/coats-jackets-girls-clothing-kids/-/N-5xtvy
3,Girls' Outerwear Jackets & Coats - Amazon.com,Girls Jackets & Coats,"['girls jackets', 'coats', 'Girls', 'Jacket', 'Coat']",[],Shop for girls jackets and coats on Amazon.com. ... ZeroXposur Girls Puffer Jacket Fleece lined Winter Coat with Lined Hood and Removable Faux Fur Trim.,https://www.amazon.com/Girls-Jackets-and-Coats/b?ie=UTF8&node=1045206
4,"Girl's Coats, Jackets & Outerwear - Nordstrom",Girls Jackets & Coats,"[""girl's coats"", 'jackets & outerwear', 'coats', 'girls']",[],"Free shipping and returns on girl's coats, jackets & outerwear at Nordstrom.com. Find coats for toddler, little, and big girls in rain, hooded, ...",https://www.nordstrom.com/browse/kids/girls-clothing/coats-jackets
5,Girls' Coats & Jackets - Nordstrom Rack,Girls Jackets & Coats,"['Girls', 'Coats', 'Jackets', 'Girls', 'Coats', 'Jackets']",[],Shop a great selection of Girls' Coats & Jackets at Nordstrom Rack. Find designer Girls' Coats & Jackets up to 70% off online or in-store.,https://www.nordstromrack.com/shop/kids/girl/coats-and-jackets
6,"Girls' Outerwear | Jackets, Pants & Boots | H&M US",Girls Jackets & Coats,"['girls', 'outerwear', 'jackets', 'coats']",[],"Get her ready for fun adventures with our girls' outerwear clothing. Discover waterproof jackets, coats, pants and more online at H&M.",https://www2.hm.com/en_us/kids/girls/outerwear.html
7,"Girls Outerwear: Puffer, Fleece & More | The Children's Place",Girls Jackets & Coats,"['girls', 'coats', 'jackets', 'outerwear']",[],Keep her warm and ready to brave the elements with stylish girls' coats and jackets from The Children's Place. She'll stay bundled up and cozy in any outerwear ...,https://www.childrensplace.com/us/c/girls-outerwear-girls-jackets-girls-blazers
8,girls jackets & coats | abercrombie kids,Girls Jackets & Coats,"['jackets & coats', 'girls', 'jackets', 'jackets', 'jacket']",[],"Shop fall jackets & coats for girls at abercrombie kids. From shirt jackets to denim jackets, puffers, and bombers, there's a jacket she'll love to wear!",https://www.abercrombie.com/shop/us/kids/girls-outerwear-and-jackets
9,Girls Jackets and Coats | Girls Outerwear - Appaman,Girls Jackets & Coats,"['girls outerwear', 'jackets']",[],"Shop a variety of girls outerwear styles from Appaman, including windbreakers and other jackets in fun colors and patterns. Discover new arrivals today.",https://www.appaman.com/collections/girls-outerwear
10,Girls' Coats & Jackets | Denim Jackets for Girls - JCPenney,Girls Jackets & Coats,"['girls coats', 'outerwear', 'coats', 'girls', 'jackets']",[],Shop and save on girls coats and outerwear at JCPenney. Find rain coats and girls winter jackets from a variety of name brands at unbeatable prices.,https://www.jcpenney.com/g/baby-kids/outerwear/coats-jackets/girls?id=cat11100000067
