position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Girls Jumpsuits - Target,Girls Jumpsuits,['girls jumpsuits'],[],"Shop Target for girls jumpsuits you will love at great low prices. Choose from Same Day Delivery, Drive Up or Order Pickup plus free shipping on orders ...",https://www.target.com/s/girls+jumpsuits
2,Girls' Jumpsuits & Rompers / Girls' Clothing - Amazon.com,Girls Jumpsuits,['girls jumpsuits'],[],Look for girls jumpsuits and rompers on Amazon.com. Free shipping and free returns on eligible items.,https://www.amazon.com/Girls-Jumpsuits-Rompers/b?ie=UTF8&node=5468988011
3,Girls' Jumpsuits & Rompers | Dillard's,Girls Jumpsuits,"['Girls', 'Jumpsuits']",[],"Shop our collection of Girls' Jumpsuits & Rompers from your favorite brands including Xtraordinary, Habitual, GB Girls, and more available at Dillard's.",https://www.dillards.com/c/kids-girls-jumpsuits-rompers
4,girls jumpsuit | Nordstrom,Girls Jumpsuits,['girls jumpsuit'],[],You searched for “girls jumpsuit” ; Kids' Flutter Sleeve Velvet Jumpsuit (Big Kid). $46.40Current Price $46.40. (20% off)20% off. ; Kids' Tie Strap Jumpsuit ( ...,https://www.nordstrom.com/sr/girls-jumpsuit
5,Sleeveless Jumpsuits for Girls - JCPenney,Girls Jumpsuits,"['girls', 'jumpsuits']",[],Shop an incredible selection of girls' jumpsuits only at JCPenney. Choose from different colors and styles and save more online with free shipping ...,https://www.jcpenney.com/g/baby-kids/dresses-jumpsuits/girls?item_type=jumpsuits&id=cat11100000120
6,Girls Jumpsuits & Rompers Big Kids Clothing - Kohl's,Girls Jumpsuits,['Girls Jumpsuits'],[],Enjoy free shipping and easy returns every day at Kohl's. Find great deals on Girls Jumpsuits & Rompers Big Kids Clothing at Kohl's today!,https://www.kohls.com/catalog/girls-jumpsuits-rompers-big-kids-clothing.jsp?CN=Gender:Girls+Silhouette:Jumpsuits%20%26%20Rompers+ChildAgeRange:Big%20Kids+Department:Clothing
7,Jumpsuits & Rompers for Girls - Belk,Girls Jumpsuits,"['Jumpsuits', 'Rompers', 'Girls', 'Girls', 'Rompers']",[],Explore our collection of Jumpsuits & Rompers for Girls at Belk. Shop Girls' White Rompers & other colors today! FREE SHIPPING on qualifying orders!,https://www.belk.com/kids/girls-clothing/jumpsuits-rompers/
1,girls jumpsuits | Nordstrom,Girls Jumpsuits,['girls jumpsuits'],[],Shop for girls jumpsuits at Nordstrom.com. Free Shipping. Free Returns. ... Kids' Crop Leg Organic Cotton Jumpsuit (Little Girl & Big Girl). Open Edit ...,https://www.nordstrom.com/sr/girls-jumpsuits
2,Girls' (7-16) Jumpsuits & Rompers (21) - Belk,Girls Jumpsuits,"['Girls', 'Jumpsuits', 'Rompers', 'girls']",[],"Browse Girls' (7-16) Jumpsuits & Rompers at Belk.com & receive FREE SHIPPING on qualifying purchases. Shop cute & super affordable girls' clothes, ...",https://www.belk.com/kids/shop-by-size/girls-7-16/jumpsuits-rompers/
3,"Shops Department: Girls, Jumpsuits - JCPenney",Girls Jumpsuits,"['Girls', 'Jumpsuit', 'Girls', 'Jumpsuit']",[],Okie Dokie Baby Girls Bodysuit Pant Jumpsuit. Gossamer Pink ... Thereabouts Toddler Girls Short Sleeve Jumpsuit. Black White Gingha.,https://www.jcpenney.com/g/shops?gender=girls&item_type=jumpsuits&id=dept20020540052
