position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Girls' Pajamas & Robes - Target,Girls Pajamas,['Pajamas'],[],"Shop Target for Pajamas & Robes you will love at great low prices. Choose from Same Day Delivery, Drive Up or Order Pickup. Free standard shipping with $35 ...",https://www.target.com/c/pajamas-robes-girls-clothing-kids/-/N-5xtvx
2,Kids Girl Pajamas - Target,Girls Pajamas,['girl pajamas'],[],"Shop Target for kids girl pajamas you will love at great low prices. Choose from Same Day Delivery, Drive Up or Order Pickup plus free shipping on orders ...",https://www.target.com/s/kids+girl+pajamas
3,Girls' Pajama Sets - Target,Girls Pajamas,"['Girls', 'Pajamas', 'Pajama']",[],"Target/Clothing, Shoes & Accessories/Kids' Clothing/Girls' Clothing/Pajamas & Robes/Pajama Sets (435)‎. How are you shopping today? Pickup.",https://www.target.com/c/pajama-sets-pajamas-robes-girls-clothing-kids/-/N-4xnw9
4,Girls' Pajamas & Pajama Sets - Macy's,Girls Pajamas,['girls sleepwear'],[],Pajamas for girls at Macy's come in all styles & sizes. Shop popular girls sleepwear and pajama sets today. Free shipping: Macy's Star ...,https://www.macys.com/shop/kids-clothes/girls-pajamas?id=188694
5,"Girls' Pajamas: Cute PJ Sets, Nightgowns & Robes | Kohl's",Girls Pajamas,"['girl', 'pajamas', 'sleepwear', 'girls']",[],"Bedtime doesn't have to be a bummer for your little girl with fun, cozy pajamas. Kohl's has a wide range of cute, comfy sleepwear fitting for girls of all ages.",https://www.kohls.com/catalog/girls-kids-sleepwear-clothing.jsp?CN=Gender:Girls+AgeAppropriate:Kids+Category:Sleepwear+Department:Clothing
6,Girls Pajama Sets & Sleepwear Sets - The Children's Place,Girls Pajamas,"['pajama', 'girls', 'girls']",[],"Shop pajama sets for girls. Find cozy and comfy pj sets for girls at The Children's Place, where big fashion meets little prices with free shipping!",https://www.childrensplace.com/us/c/girls-clothing-sleepwear-pajamas
7,Amazon.com: Girls' Pajama Sets,Girls Pajamas,"[""Girl's Pajama""]",[],Shop for Girl's Pajama Sets at Amazon.com. ... Girls' Single Long Sleeve Top and Pants 2 Piece Pajamas Sets. 4.7 out of 5 stars 96. $13.00$13.00$26.95$26.95.,https://www.amazon.com/Girls-Pajama-Sets/b?ie=UTF8&node=1045434
8,Girls Pajamas // Girls Sleepwear & Tween Pajamas // Justice,Girls Pajamas,['girls pajamas'],[],Shop our tween girls pajamas to keep her cozy while lounging! She can mix and match our pajama tops and bottoms or rock our comfy nightgowns and ...,https://www.shopjustice.com/collections/girls-pajamas-sleepwear
9,Girls' Pajamas & Sleepwear - Nordstrom,Girls Pajamas,"['girls', 'pajamas']",[],"Free shipping and returns on girls' pajamas and sleepwear at Nordstrom.com. Find robes, sets, nightgowns, and more. Shop top brands like Mini Boden, ...",https://www.nordstrom.com/browse/kids/girls-clothing/pajamas
10,Girls' Pajamas & Robes | Girls' Nightgowns - JCPenney,Girls Pajamas,"['girls', 'pajamas']",[],"Shop JCPenney and save on girls' pajamas, nightgowns, and pajama sets from Carter's, Thereabouts, and more for big and little girls.",https://www.jcpenney.com/g/baby-kids/pajamas-robes/girls?id=cat11100000056
