position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Girls Clothing Sets - Amazon.com,Girls Set,"['Girls', 'Set', 'Girls', 'Set']",[],"Toddlers and Baby Girls' 4-Piece Long-Sleeve Shirts and Pants Playwear Set · Girls' Legging Set - 3 Piece Hoodie Sweatshirt, T-Shirt, and Leggings (Size: 7-16).",https://www.amazon.com/Girls-Clothing-Sets/b?ie=UTF8&node=1288617011
2,Girls Outfit Sets | Girls Co-ords | Matching Sets - River Island,Girls Set,"['girls sets', 'girls sets']",[],"Avoid dressing dramas with our collection of girls sets and outfits. From matching T-shirts and leggings to skirts and tops, shop all our girls sets here.",https://www.riverisland.com/c/girls/sets-and-outfits
3,Girls' Outfits & Sets | H&M US,Girls Set,"['girls', 'sets']",[],"Discover all girls' outfits and sets at H&M. We have matching sweatshirts and joggers, as well as tops, shorts and activewear.",https://www2.hm.com/en_us/kids/girls/clothing/sets-outfits.html
4,Girls' Outfits & Sets | H&M GB,Girls Set,"['girls', 'sets']",[],"Discover all girls' outfits and sets at H&M. We have matching sweatshirts and joggers, as well as tops, shorts and sports clothing.",https://www2.hm.com/en_gb/kids/girls/clothing/sets-outfits.html
5,Girls' Outfits & Sets | H&M AU,Girls Set,"['girls', 'sets']",[],"Discover all girls' outfits and sets at H&M. We have matching sweatshirts and joggers, as well as tops, shorts and sports clothing.",https://www2.hm.com/en_au/kids/girls/clothing/sets-outfits.html
6,Buy Girls Outfit and Clothing Sets Online at Low Prices in India.,Girls Set,"['Girls', 'Girls', 'Sets', 'Girls', 'Sets']",[],"Buy Girls Outfit, Girls Clothing Sets, Girls Clothes Sets from popular brands such as Habooz, Goodway and more at Amazon.in.",https://www.amazon.in/girls-outfit-clothing-sets/b?ie=UTF8&node=1967982031
7,Girls Makeup Set Princess Cosmetics Make Up Set Washable ...,Girls Set,"['Girls', 'Set', 'Set', 'Set']",[],Beli Girls Makeup Set Princess Cosmetics Make Up Set Washable Kids Makeup Set Pretend Play Make Up Toys Terbaru Harga Murah di Shopee.,https://shopee.co.id/Girls-Makeup-Set-Princess-Cosmetics-Make-Up-Set-Washable-Kids-Makeup-Set-Pretend-Play-Make-Up-Toys-i.484427642.11720478974
8,Girls Clothing Sets & Outfits - Macy's,Girls Set,"['Girls', 'Sets']",[],Shop Girls Clothing Sets & Outfits at Macys.com and find the best styles and deals right now! Free shipping available and free pickup in-store!,https://www.macys.com/shop/kids-clothes/sets-outfits?id=121243
9,Girls' Outfits & Sets | Dillard's,Girls Set,"['collection', 'Girls', 'Sets']",[],"Shop our collection of Girls' Outfits & Sets from your favorite brands including Rare Editions, Under Armour, Nike and more available at Dillard's.",https://www.dillards.com/c/kids-girls-outfits-sets
10,Girls Outfit Sets | Very.co.uk,Girls Set,['girls'],[],Check out the latest girls' outfits at Very.co.uk. Order online for next day delivery with click & collect. Buy now pay later available.,https://www.very.co.uk/child-baby/girls-clothes/outfits/e/b/12803.end
11,Buy Clothing Set for Girls online in India - Myntra,Girls Set,"['girls', 'set', 'collection']",[],Shop for latest trendy girls clothing set from fresh collection at Myntra. ✯ Free Shipping ✯ COD ✯ Easy returns and exchanges.,https://www.myntra.com/girls-clothing-set
12,Shop All Girls Clothing Online - Girlswear - Matalan,Girls Set,"['girls', 'collection']",[],Or finish off their outfits with amazing accessories including backpacks and bobble hats. Shop our clothes for girls today to refresh their collection. Read ...,https://www.matalan.co.uk/kids-clothing/girls/all-girls
13,Girls' Sets - Nordstrom Rack,Girls Set,"['Girls', 'Sets', 'Girls', 'Sets']",[],Shop a great selection of Girls' Sets at Nordstrom Rack. Find designer Girls' Sets up to 70% ... Kids' Cotton T-Shirt & 3-Stripes Tights Set (Little Girls).,https://www.nordstromrack.com/shop/kids/girl/sets
14,Amazon.co.uk: Girls' Outfits & Clothing Sets,Girls Set,"['Girls', 'Sets']",[],"1-48 of 144 results for ""Girls' Outfits & Clothing Sets"". RESULTS ... RESULTS. Price and other details may vary based on product size and colour.",https://www.amazon.co.uk/Girls-Outfits-Clothing-Sets/b?ie=UTF8&node=1730887031
15,Sets & Outfits - Girls - Primark,Girls Set,['girls sets'],[],"Avoid the hassle of getting her dressed with our collection of girls sets and outfits. Explore beautiful girls co-ords and matching tees, leggings, ...",https://www.primark.com/en-gb/c/kids/girls/girls-clothing/sets-and-outfits
16,Girls Outfits & Outfit Sets | Next Official Site - Next UK,Girls Set,"['girls', 'girls']",[],Shop for outfits for girls at next.co.uk. Next day delivery and free returns available. 1000s of products online. Browse girls' outfit ideas now!,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-outfits-0
17,"Jual Ready Kids Makeup Kit for Girls, Washable ... - Shopee",Girls Set,"['Girls', 'Set', 'Girls', 'Girls']",[],"Beli Ready Kids Makeup Kit for Girls, Washable Real Makeup Set for Little Girls, Princess Frozen Toys for Girls Toys for 4 5 6 7 8 9 Year Old, ...",https://shopee.co.id/Ready-Kids-Makeup-Kit-for-Girls-Washable-Real-Makeup-Set-for-Little-Girls-Princess-Frozen-Toys-for-Girls-Toys-for-4-5-6-7-8-9-Year-Old-Kids-Play-Makeup-Starter-Kit-Cosmetic-Beauty-Set-Frozen-Makeup-Set-id.%C2%AE-i.60319971.8761400803
18,Girls Outfit Sets | George at ASDA,Girls Set,"['girls', 'sets']",[],"Shop the latest girls' outfits at George at ASDA, including matching outfit sets, jumpsuits, playsuits as well as coordinating T-shirt & leggings outfits.","https://direct.asda.com/george/kids/outfits/D25M2G1C27,default,sc.html"
19,Girls' Outfit Sets | Leggings & Pant Sets - JCPenney,Girls Set,"['girls', 'sets']",[],"Discover the best girls' outfit sets at discounted prices only at JCPenney. Shop from top brands like Carter's, adidas, Disney & more.",https://www.jcpenney.com/g/baby-kids/clothing-sets/girls?id=cat11100000053
20,Junior Girl's Clothes |Ages 3-7 | JD Sports UK,Girls Set,"['Girls', 'Sets']",[],Girls Clothing - (3-7 Years) · tracksuits · t-shirts · bottoms · jackets · Tee & Short Sets.,https://www.jdsports.co.uk/kids/childrens-clothing-(3-7-years)/gender/girls/
21,"Girls set, matching and coordinates - Nutmeg",Girls Set,"['collection', 'sets', 'sets']",[],"With our collection of outfits and sets for your little adventurer, getting ready is sure to be a breeze. From matching loungewear to leggings and dress sets, ...",https://nutmeg.morrisons.com/en/girls-sets
22,Melting Waves Bikini Set - Girls (8-14 Years) - Rip Curl,Girls Set,"[""girl's set""]",[],"The Melting Waves Bikini Set is a great girl's set made from Extra Life Microfiber Lycra that gives long-lasting comfort, fit and shape.",https://www.ripcurl.co.id/id/products/melting-waves-bikini-set-girls-8-14-years
23,Toddler Girls' Outfits - Target,Girls Set,"['Girls', 'Set']",[],Toddler Girls' Star of David Long Sleeve Cozy Top and Dot Leggings Set - Cat & Jack™ Gray · Cat & Jack. $13.60 reg $16.00. Clearance. When purchased online.,https://www.target.com/c/outfits-toddler-girls-clothing-kids/-/N-4tfpd
24,gaun anak Teen Girls Shorts Outfits Set Flamingo Pattern ...,Girls Set,"['Girls', 'Set']",[],Beli gaun anak Teen Girls Shorts Outfits Set Flamingo Pattern Short Sleeve T-shirt Pink Skirt 2 Pieces Terbaru Harga Murah di Shopee.,https://shopee.co.id/gaun-anak-Teen-Girls-Shorts-Outfits-Set-Flamingo-Pattern-Short-Sleeve-T-shirt-Pink-Skirt-2-Pieces-i.175597226.7403439874
25,Girls' Outfits & Sets | H&M IN,Girls Set,"['girls', 'sets']",[],"Discover all girls' outfits and sets at H&M. We have matching sweatshirts and joggers, as well as tops, shorts and activewear.",https://www2.hm.com/en_in/kids/girls/clothing/sets-outfits.html
26,Baby Girls' Outfit Sets | H&M GB,Girls Set,"['girls', 'sets']",[],"Discover adorable baby girls' outfit sets at H&M online. We have matching tops, joggers and more in a range of colours for you to scroll.",https://www2.hm.com/en_gb/baby/girls/clothing/sets-outfits.html
27,Girls' Outfits: Cute Clothes & the Latest Fashion for Girls | Kohl's,Girls Set,"['Sets', 'Girls']",[],"Cute Outfits & Clothing Sets for Girls. As a parent, you only want the best when it comes to your child. You want clothing that is both comfortable and ...",https://www.kohls.com/catalog/girls-kids-clothing-sets-clothing.jsp?CN=Gender:Girls+AgeAppropriate:Kids+Category:Clothing%20Sets+Department:Clothing
28,Girls Matching Outfits & Sets | Shop Justice,Girls Set,"['girls', 'girls', 'sets']",[],Shop cute outfits for girls and tween girls matching sets with mix-and-match styles that are made for each other. She can pick and pair tops and bottoms her ...,https://www.shopjustice.com/collections/matching-sets
29,Clothing Sets for Girls | Costco,Girls Set,"['collection', 'Sets', 'Girls', 'Sets', 'Girls']",[],Find a great collection of Clothing Sets for Girls at Costco. Enjoy low warehouse prices on name-brand Clothing Sets for Girls products.,https://www.costco.com/girls-sets.html
30,Girls 1-7 Outfit Sets - Best&Less,Girls Set,"['girls', 'sets']",[],"At Best&Less we have so many gorgeous girls outfit sets. From dresses and pinafores to skirts and tees, we have the perfect outfit for every little girl.",https://www.bestandless.com.au/girls-sets-aged-1-7
