position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Girls' Clothes - Target,Girls clothing,"['Girls', 'Clothing']",[],"Shop Target for Girls' Clothing you will love at great low prices. Choose from Same Day Delivery, Drive Up or Order Pickup. Free standard shipping with $35 ...",https://www.target.com/c/girls-clothing-kids/-/N-5xtwa
2,"Girls' Clothes | Dresses, Jeans & More | H&M US",Girls clothing,"['girls', 'clothes']",[],"Shop all girls' clothes at H&M. Find everyday T-shirts, dresses and jeans, as well as overalls and stylish pants in all the latest styles.",https://www2.hm.com/en_us/kids/girls/clothing.html
3,Girls Clothing - Macy's,Girls clothing,"['Girls Clothing', ""girl's clothes""]",[],Shop the Latest Girls Clothing at Macys.com. Find a variety of girl's clothes styles and occasions from top brands and much more. FREE SHIPPING AVAILABLE!,https://www.macys.com/shop/kids-clothes/girls-clothing?id=61998
4,Shop Girls Clothing: Sizes 4-18 | The Children's Place,Girls clothing,['girls clothing'],[],"Shop for girls clothing. Find clothes for girls at The Children's Place, where big fashion meets little prices with free shipping!",https://www.childrensplace.com/us/c/girls-clothing
5,Girls Clothes - Old Navy,Girls clothing,"['Girls', 'clothes']",[],"Girls' clothes at Old Navy are always cute, current, and affordable. Stock up on new arrivals, seasonal must-haves, wardrobe staples, and activewear.",https://oldnavy.gap.com/browse/division.do?cid=6027
6,girls clothing & accessories | abercrombie kids,Girls clothing,['girls clothing'],[],"Find girls clothing & accessories at abercrombie kids. You'll find jeans, hoodies, sweatpants, t-shirts, and more.",https://www.abercrombie.com/shop/us/kids/girls
7,"Girl's Clothing - Dresses, Jeans & Tops - Forever 21",Girls clothing,"['girls', 'clothing']",[],"Keep your mini-me ahead of the style curve in FOREVER 21 girls' clothing. Explore our entire selection of outerwear, dresses, jeans, skirts, tees, and more!",https://www.forever21.com/us/shop/catalog/category/girls/girls_main
8,Girls' Clothes: Shop Cute Clothes for Girls of All Ages | Kohl's,Girls clothing,"['Girls', 'Clothing']",[],Enjoy free shipping and easy returns every day at Kohl's. Find great deals on Girls' Clothing at Kohl's today!,https://www.kohls.com/catalog/girls-kids-clothing.jsp?CN=Gender:Girls+AgeAppropriate:Kids+Department:Clothing
9,Girls Clothing (Sizes 7-16) - Nordstrom,Girls clothing,['girls clothing'],[],"Free shipping and returns on girls clothing at Nordstrom.com. Find dresses, tops, tees, sweatshirts, jeans, and more from top brands like Zella Girl, ...",https://www.nordstrom.com/browse/kids/girls/clothing-sizes-7-16
10,"Girls Clothes | Bathing Suits, Leggings, Jeans, Shorts | Shop ...",Girls clothing,['girls clothing'],[],"Justice's online girls clothing store has leggings, girls bikinis and one piece swimsuits, shorts, pajamas, dresses for tweens and teens, and fashion in ...",https://www.shopjustice.com/
11,"Girls' Clothing | Dresses, Shorts, Jeans & Tops | JCPenney",Girls clothing,"['girls', 'clothing']",[],"Shop the latest girls' clothing trends at JCPenney! From dresses and shorts, to jeans and tops, we have everything to make the perfect outfit.",https://www.jcpenney.com/g/baby-kids/all-girls-clothing?id=cat11100001191
12,Girls' Hoodies & Sweatshirts - Belk,Girls clothing,['girl clothes'],[],"Our toddler girl clothes include cute designs like unicorn graphics, animal prints and festive fabrics for the holidays. The girls' character apparel collection ...",https://www.belk.com/kids/girls-clothing/
13,Girls Clothing in Kids Clothing - Walmart.com,Girls clothing,['Girls Clothing'],[],"Shop for Girls Clothing in Kids Clothing. Buy products such as Wonder Nation Girls Long Sleeve Kid Tough T-Shirt, Sizes 4-18 & Plus at Walmart and save.",https://www.walmart.com/browse/clothing/girls-clothing/5438_7712430_1660851
14,Girls' Clothes: Cute and Affordable Looks for All Occasions,Girls clothing,"['girls', 'clothing']",[],Stay on top of her growth spurts and wardrobe makeovers with girls' clothing at Zulily. We have a broad assortment of cute clothes for girls in a wide range of ...,https://www.zulily.com/category/girls
15,Cute Clothes for Girls & Teens - Tillys,Girls clothing,"['girls', 'clothing']",[],"The girls want to look chic too. Treat her to some comfortable clothing, shoes and accessories by shopping Tillys.",https://www.tillys.com/kids/girls/
16,Girls Clothing at Janie and Jack,Girls clothing,"['girls', 'clothing', 'girls clothes']",[],"Janie and Jack crafts distinctive, boutique girls' clothing. Shop our designer girls clothes featuring precious detailing and luxurious fabrics.",https://www.janieandjack.com/girls-clothing
17,All Girls Clothes at Tea Collection,Girls clothing,['girls clothes'],[],Shop all the girls clothes at Tea Collection and help her stand out in the pack.,https://www.teacollection.com/girls-clothing
18,Shop Cute Clothes for Girls sizes 7-14 - Maurices,Girls clothing,['girls clothing'],[],"Shop maurices' selection of cute girls clothing for girls sizes 7 through 14. Find the latest and best picks across girls jeans, t-shirts, and more.",https://www.maurices.com/c/girls/N-13979
19,Girls Clothes & Outfits (Big Girl Sizes 7-16) - Bloomingdale's,Girls clothing,['Girls Apparel'],[],"Designer Girls Apparel Sizes 7-16: Girls Dresses, Sweaters, Jackets, and Leggings. Fashion your daughter in your own stylish image with ...",https://www.bloomingdales.com/shop/kids/big-girl-clothes-7-16?id=23720
20,Girls' Clothes | Girls' Fashion | Boden US,Girls clothing,"['girls', 'clothes']",[],"For a pop of cheerful color every day, browse our girls' clothes online. Find hard-wearing leggings, snuggly sweaters, adventure-ready dresses, ...",https://www.bodenusa.com/en-us/girls-clothing
21,Cute Teen Girls' & Women's Clothing - Aeropostale,Girls clothing,"['clothing', 'clothes', 'girls']",[],"Keep up with the latest teen clothing trends in Aeropostale's cute clothes for girls and teens. Shop popular shirts, jeans, sleepwear and more here.",https://www.aeropostale.com/women-teen-girls/clothing/
22,"Girls Clothes – Dresses, Hoodies, Sweaters and School ...",Girls clothing,['girls clothing'],[],"Find girls clothing at Cookie's, the Kids' Department Store. Get discounted prices on...",https://www.cookieskids.com/girls_fashion.aspx
23,Girls' Clothes | Lands' End,Girls clothing,"['girls', 'clothes', 'girls', 'clothing', 'girls', 'apparel', 'girls', 'clothes']",[],"Shop girls' clothes at Lands' End. FREE shipping available. Find quality girls' clothing, clothes for girls, apparel for girls, clothes for tweens, ...",https://www.landsend.com/shop/girls-clothing/S-xez-y5d-xec
24,Girls Clothing | Everyday Low Prices - Rainbow Shops,Girls clothing,"['clothes', 'girls', 'girls']",[],"Rainbow Shops selection of clothes for teenage girls makes it easy for all the moms and dads to shop with their growing girls. We're budget friendly too, so you ...",https://www.rainbowshops.com/collections/girls-7-16
25,"Disney Girls Clothing T-shirts, Dresses & More | shopDisney",Girls clothing,"['clothing', 'girls']",[],"Explore our magical collection of Disney clothing for girls with t-shirts, dresses, & sweaters featuring Moana, Belle, Minnie Mouse & more.",https://www.shopdisney.com/clothing/girls/
26,Clothing for Girls - Costco Wholesale,Girls clothing,"['Clothing', 'Girls', 'Clothing', 'Girls']",[],Find a great collection of Clothing for Girls at Costco. Enjoy low warehouse prices on name-brand Clothing for Girls products.,https://www.costco.com/girls-clothing.html
27,Girls' Clothing | Amazon.com,Girls clothing,"['girls', 'clothing']",[],Shop a wide selection of styles and brands for girls' clothing at Amazon.com. Free shipping and free returns on eligible items.,https://www.amazon.com/Girls-Clothing/b?ie=UTF8&node=1040664
28,Girls' Clothing - Boot Barn,Girls clothing,"['Girls', 'Clothing']",[],Looking for Girls' Clothing? Shop Bootbarn.com for great prices and high quality products from all the brands you know and love. Check out more here!,https://www.bootbarn.com/kids/girls-clothing/girls-clothing/
29,Girls - Nordstrom Rack,Girls clothing,"['Girls', 'Apparel']",[],Shop a great selection of Girls' Apparel at Nordstrom Rack. Free in-store returns at any Nordstrom Rack location.,https://www.nordstromrack.com/shop/kids/girl
30,Girls' Clothes | Outfits for Girls | Marks & Spencer US,Girls clothing,"['girls', 'clothes']",[],Our collection of girls' clothes includes modern and classic outfits for kids from toddlers to teens. Be inspired by the latest kidswear at Marks & Spencer ...,https://www.marksandspencer.com/us/l/kids/all-girls-clothing/
31,Girls Clothing | Next Official Site,Girls clothing,"['girls clothes', 'girls clothes']",[],Shop for girls clothes at Next. Browse through our amazing selection of girls clothes to suit all occasions that are available to buy online today!,https://www.next.us/en/girls
32,Girls' Clothes - Buckle,Girls clothing,"['girls', 'clothing']",[],"Find the cutest selection of girls' clothing at Buckle. Shop jeans, shorts, tees, shoes, & more in your favorite brands.",https://www.buckle.com/girls
