position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Men's Pants,Men Pants,"[""men's pants""]",[],"Free shipping and returns on men's pants at Nordstrom.com. Find casual and dress pants, chinos, joggers, and more. Shop from top brands like Nike, Levi's, ...",https://www.nordstrom.com/browse/men/clothing/pants
2,Men's Pants & Bottoms,Men Pants,[],[],"Shop Target for Bottoms you will love at great low prices. Choose from Same Day Delivery, Drive Up or Order Pickup. Free standard shipping with $35 orders.",https://www.target.com/c/pants-men-s-clothing/-/N-5xu29
3,"Men's Pants: Dress Pants, Chinos, Cargo & More",Men Pants,"[""Men's Pants""]",[],"Shop Men's Pants at Macys.com. Huge selection and deals on men's dress pants, chinos, cargo pants and more from top brands.",https://www.macys.com/shop/mens-clothing/mens-pants?id=89
4,Men's Pants,Men Pants,"[""men's pants""]",[],"Looking for the best collection of men's pants including jeans, joggers, chinos, sweatpants, and more? Shop pants for men at PacSun and enjoy free shipping ...",https://www.pacsun.com/mens/pants/
5,Men's Pants,Men Pants,['mens pants'],[],Shop from a wide selection of mens pants on Amazon.com. Free shipping and free returns on ... Men's Classic-Fit Expandable-Waist Flat-Front Dress Pant.,https://www.amazon.com/Mens-Pants/b?ie=UTF8&node=1045558
6,Men's Pants | REI Co-op,Men Pants,"[""Men's Pants""]",[],Shop for Men's Pants at REI - FREE SHIPPING With $50 minimum purchase. Curbside Pickup Available NOW! 100% Satisfaction Guarantee.,https://www.rei.com/c/mens-pants
7,"Men's Pants | Chinos, Dress & Cargo",Men Pants,"[""men's pants""]",[],"Shop online for a range of men's pants at H&M, from dressy slacks and classic chinos to cargo and jogging pants. Choose from a variety of styles and colors.",https://www2.hm.com/en_us/men/products/pants.html
8,Men's Pants: Shop Casual Trousers & Dress Slacks For Men,Men Pants,"['pants', ""men's"", 'pants']",[],"With many different styles and colors to choose from, it's easy to find the perfect new pair of dress pants for you! Take a look at men's dress pants from ...",https://www.kohls.com/catalog/mens-pants-bottoms-clothing.jsp?CN=Gender:Mens+Product:Pants+Category:Bottoms+Department:Clothing
9,"Men's Pants | Dress Pants, Chinos & Cargo",Men Pants,"[""men's pants""]",[],"Revamp your wardrobe with JCPenney's wide assortment of men's pants. Shop khakis, dress pants, chinos, and more. Free shipping available online!",https://www.jcpenney.com/g/men/mens-pants?id=cat100250021
10,Casual & Dress Pants | Bonobos Men's Clothing,Men Pants,"[""men's pants""]",[],Bonobos has a collection of men's pants to fill out all the room in your closet. You will own any room with our selection of elegant dress pants.,https://bonobos.com/shop/clothing/pants
11,Men's Pants,Men Pants,"['pants', 'pants']",[],"Casual pants for dudes that actually fit well. Shop slim-cut, skinny, and standard fit chinos, twill pants, and more at Zumiez.",https://www.zumiez.com/mens/pants.html
12,Men's Pants | Backcountry.com,Men Pants,"[""men's pants""]",[],"Shop the best selection of men's pants at Backcountry.com, where you'll find premium outdoor gear and clothing and experts to guide you through selection.",https://www.backcountry.com/mens-pants
13,Men's Pants & Casual Pants,Men Pants,"[""men's Pants""]",[],"Check out men's Pants from Tillys! We have men's chinos, corduroy pants, skinny pants, twill, tapered pants & more. Shop now!",https://www.tillys.com/men/clothing/pants/
14,"Men's Pants | Work Pants, Khaki & More Pants for Men",Men Pants,"[""men's pants""]",[],"Shop men's pants and find options for work, outdoors and home. Find Belk's dress pants, cargo pants and other pants for men in store and online.",https://www.belk.com/men/mens-clothing/pants/
15,Mens Pants in Mens Clothing(1000+),Men Pants,['Mens Pants'],[],"Shop for Mens Pants in Mens Clothing. Buy products such as Bonobos Fielder Men's and Big Men's Stretch Tech Commuter Pant, up to 3XL at Walmart and save.",https://www.walmart.com/browse/clothing/mens-pants/5438_133197_6041621
16,30 Best Men's Pants That Will Serve You Year-Round in ...,Men Pants,"[""men's pants"", ""men's pants""]",[],"Whether it's jeans, chinos or joggers, wearing the right pair of men's pants is important. Here are the best men's pants to buy right now.",https://www.fashionbeans.com/article/best-mens-pants/
17,"Men's Pants - Jeans, Chinos, Dress Pants & Shorts",Men Pants,"[""men's pants"", ""men's pants""]",[],"Looking for men's pants, jeans, chinos, and dress pants? The Express collection of men's pants has it all. From slacks to khaki pants, find your look now.",https://www.express.com/mens-clothing/pants/cat1005
18,Men's Pants | UNIQLO US,Men Pants,"['pants', 'men', 'pants']",[],"Browse stylish and comfortable pants for men online from UNIQLO US. Shop work, chino pants in khaki & more in a wide range of lengths and sizes.",https://www.uniqlo.com/us/en/men/bottoms/pants
19,Men's Pants & Slacks,Men Pants,"[""men's pants""]",[],"Browse our wide selection of men's pants, slacks, trousers, jeans and more from Haggar Clothing Co. Get free shipping on orders over ...",https://www.haggar.com/mens-pants/
20,Men's Pants: Outdoor & Travel Pants by Patagonia,Men Pants,"[""men's"", 'pants']",[],"Road-ready, multifunctional and long-lasting—that's how we designed our men's travel and outdoor pants. Patagonia Ironclad Guarantee. 1% for the Planet®.",https://www.patagonia.com/shop/mens-pants
21,Men's Pants,Men Pants,['pant'],[],Your search for the perfect pant ends here. Old Navy has stylish fits for every guy at great prices.,https://oldnavy.gap.com/browse/category.do?cid=5211
22,Comfortable Men's Pants | Casual Pants for Men,Men Pants,[],"[""Men's Fleece Lined Cargo Pant"", ""Wrangler® Men's Five Star Premium Relaxed Fit Flex Cargo Pant"", ""Men's Wrangler® Flex Waist Outdoor Cargo Pant"", ""ATG by Wrangler™ Men's Synthetic Utility Pant"", ""Men's Wrangler Retro® Slim Fit Straight Leg Pant"", ""Men's Wrangler® Flex Tapered Cargo Pant"", ""Men's Epic Soft™ Cargo Pant"", ""ATG By Wrangler™ Men's Range Cargo Pant"", 'Wrangler® RIGGS Workwear® Carpenter Pant', ""Men's Comfort Waist Drawstring Cargo"", ""Wrangler® Men's Comfort Flex Waist Cargo Pant"", ""Wrangler X Leon Bridges Men's Rope Riser Jean""]",None,https://www.wrangler.com/shop/men-pants
23,Men's Pants + Jeans,Men Pants,"[""men's pants""]",[],The best men's pants are both comfortable and fashionable. Find pants that are fit for any occasion at Academy Sports + Outdoors.,https://www.academy.com/c/mens/mens-apparel/mens-pants
24,Men's Pants - Work Pants & Casual Pants,Men Pants,"[""men's jeans"", ""men's pants""]",[],"From Dickies 874 work pants to casual men's jeans, our selection has all your needs covered. Shop men's pants for styles you can count on.",https://www.dickies.com/mens-clothing/mens-pants
25,Men's Pants: Khakis & Cargos,Men Pants,"[""Men's Pants""]",[],"Shop Men's Pants, Khaki Pants and Cargo Pants at American Eagle to get your new favorites. Find new cargos, chinos, 5-pocket pants, khaki joggers, ...",https://www.ae.com/us/en/c/men/bottoms/pants/cat40003
26,Men's Pants & Chinos,Men Pants,"[""Men's Pants""]",[],"Shop Premium Pants and Chinos for Men at Mavi Jeans. Browse Men's Pants, Chinos available in Straight Leg, Skinny, Slim & more. Free shipping & returns on ...",https://us.mavi.com/collections/men-pants
