position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Amazon.com: Men's Underwear,Men's underwear,['mens underwear'],[],Shop for mens underwear on Amazon.com. Free shipping and free returns on eligible items.,https://www.amazon.com/Mens-Underwear/b?ie=UTF8&node=1045706
2,Mens Underwear Store - Top Men's Underwear Brands ...,Men's underwear,"[""Men's Underwear"", ""men's underwear""]",[],"The Men's Underwear Store offers the top 10 men's underwear brands. Available styles thongs, boxer briefs, bikinis, briefs, and more.",https://www.mensunderwearstore.com/
3,Designer Underwear for Men - Freshpair,Men's underwear,"['mens underwear', 'mens underwear']",[],"Shop the best underwear for men from 50+ top mens underwear brands, including Calvin Klein, 2xist, C-IN2 and more. Our selection of mens underwear includes ...",https://www.freshpair.com/collections/mens-underwear
4,"Men's Underwear: Boxers, Trunks, Briefs & More | Tommy John",Men's underwear,"[""men's underwear""]",[],"With 6 unique styles to choose from, you'll find the fit that's right for you. Shop Tommy John's soft, light, and comfortable men's underwear today.",https://www.tommyjohn.com/collections/mens-underwear
5,Men's Underwear | Boxers & Boxer Briefs for Men - JCPenney,Men's underwear,"['underwear', 'men', 'underwear', 'briefs']",[],"Shop underwear for men from trusted brands only at JCPenney. Choose between thermal underwear, boxer briefs, sleeveless tanks, & more.",https://www.jcpenney.com/g/men/mens-underwear?id=cat100290089
6,"Mens Underwear - Boxers, Briefs & Jockstraps - Macy's",Men's underwear,"['Underwear', 'Men']",[],Shop the Latest Collection of Underwear for Men Online at Macys.com. FREE SHIPPING AVAILABLE!,https://www.macys.com/shop/mens-clothing/mens-underwear?id=57
7,Men's Underwear - ASOS,Men's underwear,"['underwear', 'men', 'briefs', 'boxers', ""men's""]",[],"Discover the latest underwear range for men at ASOS. Choose from a variety of styles of briefs, boxers, men's thongs and trunks. Available today at ASOS.",https://www.asos.com/us/men/underwear-socks/underwear/cat/?cid=20317
8,Men's Underwear | Nordstrom Rack,Men's underwear,"[""Men's Underwear""]",[],Shop a great selection of Men's Underwear at Nordstrom Rack. Free in-store returns at any Nordstrom Rack location.,https://www.nordstromrack.com/shop/men/clothing/underwear
9,Men's Underwear | Abercrombie & Fitch,Men's underwear,"[""men's underwear"", ""men's boxers""]",[],Find new men's underwear at Abercrombie & Fitch. Update your top drawer by shopping our full collection of underwear from men's boxers to briefs.,https://www.abercrombie.com/shop/us/mens-underwear
10,Men's Underwear - Target,Men's underwear,"[""men's"", 'briefs']",[],The men's performance boxer briefs are great when playing sports as they prevent chafing and are moisture-wicking so that you can play for longer. Shop on ...,https://www.target.com/c/underwear-men-s-clothing/-/N-4vr7v
