position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Amazon.com: Women's Skirts,Skirts,['skirts'],[],Shop a wide selection of styles and brands for skirts at Amazon.com. Free shipping and free returns on eligible items.,https://www.amazon.com/Skirts/b?ie=UTF8&node=1045022
2,Women's Skirts | Nordstrom,Skirts,[],"['Side Seam Detail Faux Leather Miniskirt', 'Cotton Blend Cargo Skirt', 'Hybrid Faux Leather & Ponte Knit Midi Skirt', 'Fit & Flare Sweater Skirt', 'Annalise Side Vent Velvet Miniskirt', 'Side Ruched Skirt', 'Navita Velvet Skirt', 'Ponte Midi Skirt', 'Pleated Faux Leather Miniskirt', 'Wrap Front Faux Leather Midi Skirt', 'Zip Suede Miniskirt', 'Soft Lounge Rib Maxi Skirt (Plus Size)']",None,https://www.nordstrom.com/browse/women/clothing/skirts
3,"Skirts | Satin, Linen & Wrap Skirts for Women | ASOS",Skirts,"['skirts', 'skirts']",[],"Discover the latest skirts with ASOS. Shop a variety of styles including denim and leather skirts, plus midi and maxi lengths. Order now with ASOS.",https://www.asos.com/us/women/skirts/cat/?cid=2639
4,Skirts for Women - Target,Skirts,['Skirts'],[],"Shop Target for Skirts you will love at great low prices. Choose from Same Day Delivery, Drive Up or Order Pickup. Free standard shipping with $35 orders.",https://www.target.com/c/skirts-women-s-clothing/-/N-5xtc4
5,Skirts for Women - Macy's,Skirts,"['Skirts', 'skirts', 'skirts']",[],"FREE SHIPPING available on a huge assortment of Skirts for Women at Macys.com. Shop deals on mini skirts, pleated skirts, pencil, maxi, ...",https://www.macys.com/shop/womens-clothing/womens-skirts?id=131
6,Fashionable Women's Casual Skirts and Dressy Attire - Lulus,Skirts,"['skirts', 'skirts']",[],Lulus is the best place to buy skirts online in the newest styles at great prices! Snag women's casual skirts and dressed-up looks in our boutique.,https://www.lulus.com/categories/11_66/skirts.html
7,"Mini, Midi, & Maxi Skirts | francesca's",Skirts,['skirts'],[],"Shop our collection of mini, midi, & maxi skirts! FREE Standard Shipping on all orders & returns of $65 or more!",https://www.francescas.com/category/clothing/mini-midi-maxi-skirts
8,Skirts For Women - Dillard's,Skirts,"['skirts', 'skirts']",[],"Find a great selection of women's skirts at Dillard's. Offered in the latest styles and materials from maxi, pencil, A-lines and midi skirts Dillard's has ...",https://www.dillards.com/c/women-skirts
9,Women's Skirts - Nordstrom Rack,Skirts,"['skirt', 'skirts']",[],Need a versatile skirt for every occasion? You'll find women's skirts at Nordstrom Rack from all your favorite brands for up to 70% off. Shop today.,https://www.nordstromrack.com/shop/women/clothing/skirts
10,"Skirts | Tennis Skirts, Mini, Midi, Maxi & Pleated Skirts | H&M US",Skirts,"['skirts', 'skirts', 'skirt']",[],"Choose from breezy maxi skirts to trendy pleated skirts, and every length and look in between. We love the day-to-night versatility of a satin midi skirt; wear ...",https://www2.hm.com/en_us/women/products/skirts.html
11,"Cute Mini, Midi, Maxi, Pencil Skirts and Skorts - Stein Mart",Skirts,"['skirts', 'skirts']",[],"Explore our great selection of women's skirts, in maxi, midi, mini, and knee-length, pencil skirts, flared, pleated designs to create a personalized outfit.",https://steinmart.com/collections/skirts
12,"Women's Skirts: Pleated, A-Line, Wrap & More | Ann Taylor",Skirts,"['skirts', 'skirt']",[],Our wrap skirts cinch together your look effortlessly - and are forever flattering and versatile. Pair a classic pleated skirt with an understated shirt for a ...,https://www.anntaylor.com/skirts/cata000016
13,Women's Skirts: Clothing - Madewell,Skirts,"['Skirts', 'skirts', 'skirts']",[],"Shop Women's Skirts and see our entire collection of women's midi skirts, denim skirts and more. Free shipping & returns for Madewell Insiders.",https://www.madewell.com/womens/clothing/skirts
14,"Women's Skirts: Midi, Mini & Jean Skirts | Abercrombie & Fitch",Skirts,"['skirt', 'skirts', 'skirts', 'skirts']",[],"Find the perfect women's skirt at Abercrombie & Fitch. From neutral tones to vibrant colors, shop denim skirts, midi skirts, maxi skirts & more.",https://www.abercrombie.com/shop/us/womens-skirts-bottoms
15,Women's Skirts | Maxi & Pencil Skirts for Women - JCPenney,Skirts,"['skirts', 'skirts', 'skirts']",[],"Shop skirts of all styles and shapes at JCPenney. From floral maxi skirts to black pencil skirts for work, we've got a selection for all occasions.",https://www.jcpenney.com/g/women/skirts?id=cat100250097
16,Skirts for Women: Casual to Dressy Styles - LOFT,Skirts,"['skirt', 'skirts', 'skirts']",[],"A stylish skirt makes a statement no matter where you wear them. Maxi skirts make your weekend breezier, pencil skirts offer polished perfection for work, and ...",https://www.loft.com/skirts/catl000017
17,Women's Skirts - Bloomingdale's,Skirts,"['Skirts', 'skirts']",[],"Women's Designer Skirts. Almost as easy to wear as your favorite ""one-and-done"" dress, women's skirts have the power to effortlessly elevate ...",https://www.bloomingdales.com/shop/womens-apparel/skirts?id=19951
18,"Women's Skirts: Denim, Midi + Mini - Urban Outfitters",Skirts,"['skirts', 'skirts', 'skirts', 'skirts', 'skirts']",[],"Find all the latest looks in skirts like plaid skirts, ruffle skirts & satin skirts at Urban Outfitters. You'll love our fun collection of wrap skirts, ...",https://www.urbanoutfitters.com/skirts
19,Women's Designer Skirts | Neiman Marcus,Skirts,['skirts'],[],Shop the latest styles of women's designer skirts from your favorite luxury labels at Neiman Marcus. Enjoy free shipping and free returns!,https://www.neimanmarcus.com/c/womens-clothing-clothing-skirts-cat17740750
