position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Matching Sets - Women - Macy's,Women's clothes set,"[""Women's"", 'Sets', 'sets', 'women']",[],"Women's Matching Sets. What makes matching sets a look women love? They offer a streamlined, hassle-free way to get dressed whether you're ...",https://www.macys.com/shop/womens-clothing/matching-sets?id=297256
2,Matching Two-Piece Women's Outfits & Sets - FOREVER 21,Women's clothes set,"['sets', 'outfits', 'sets']",[],"Two is better than one! Shop matching sets and two-piece outfits at FOREVER 21. Discover sets for crop tops, tube tops, skirts, and pants. | Forever 21.",https://www.forever21.com/us/shop/catalog/category/f21/sets
3,Matching Sets Women Clothing - Amazon.com,Women's clothes set,"['sets women clothing', 'Women Set', 'Outfits']",[],Amazon.com: matching sets women clothing. ... Sweatsuits for Women Set 2 Piece Jogging Outfits Fashion Casual Hoodie Sweatshirt Sweatpants Tracksuit Lounge ...,https://www.amazon.com/matching-sets-women-clothing/s?k=matching+sets+women+clothing
4,Women's Two Piece Sets & Outfits | Co Ord Sets | ASOS,Women's clothes set,"[""women's"", 'sets']",[],"Shop women's two piece sets and matching co-ords, exclusively at ASOS. Discover double-denim, wide-leg suits, simple monochrome two-piece 'fits and more ...",https://www.asos.com/us/women/two-piece/cat/?cid=19632
5,"Matching Two Piece Sets: 2 Piece Dresses, Clothing ... - Lulus",Women's clothes set,"[""women's"", 'sets', 'sets']",[],"Check out our casual women's two-piece sets to find skirts, culottes, and shorts paired with tie-front tops and crop tops. These sets are perfect for casual ...",https://www.lulus.com/categories/2242/two-piece-sets.html
6,Women's Matching Sets | Sexy Sets & Casual Two Piece Outfits,Women's clothes set,"[""women's"", 'sets', 'sets', 'sets', 'sets', 'outfits']",[],"Discover women's matching sets at Windsor from sexy matching skirts & top sets, jackets & skirt sets, dressy sets, two-piece outfits, & more!",https://www.windsorstore.com/collections/womens-matching-sets
7,Outfits & Matching Sets for Women - Bloomingdale's,Women's clothes set,"[""women's outfit""]",[],Find the perfect women's outfit for any occasion at Bloomingdale's. Free shipping and returns available or buy online and pick up in-store!,https://www.bloomingdales.com/shop/womens-apparel/matching-sets?id=1068159
8,Coordinating Sets for Women - Target,Women's clothes set,['Clothing'],[],"Target/Ways to Shop/Clothing Ways to Shop/Co-ords (68)‎. How are you shopping today? Pickup. In-store pickup, ready within 2 hours. Same Day Delivery.",https://www.target.com/c/co-ords/-/N-85bjb
9,Women's Two Piece Sets | 2 Piece Outfits - PrettyLittleThing,Women's clothes set,"['sets', 'women', ""women's"", 'outfits']",[],"Shop cute two piece sets for women at PrettyLittleThing, from two piece dresses to casual sweat suits. Shop women's two piece outfits at PLT today.",https://www.prettylittlething.us/clothing/two-piece-sets.html
10,Women's two-piece Sets | Explore our New Arrivals - Zara,Women's clothes set,"['outfit', 'sets']",[],"The two piece outfit comes in every fabric and style for this season, from cozy knitted coordinates to elegantly printed top and skirt sets. Wear the pieces ...",https://www.zara.com/us/en/woman-co-ords-l1061.html
11,Matching Two Piece Sets | boohoo USA,Women's clothes set,"['outfits', 'sets', 'outfit', 'sets', 'women']",[],Shop two piece outfits and matching sets from boohoo USA for an outfit that just goes. ... These two-piece sets for women don't need to be seasonal.,https://us.boohoo.com/womens/matching-sets
12,Women's Matching Clothes and Matching Sets - American Eagle,Women's clothes set,"[""Women's"", 'Clothes', 'Sets', 'outfit']",[],"Shop Women's Matching Clothes and Matching Sets at American Eagle to create your favorite new outfit. Find tops and bottoms in matching colors, ...",https://www.ae.com/us/en/x/women/match-it-up
13,Women's Clothing Sets: Shop Matching Two-Piece Outfits,Women's clothes set,"['Clothing Sets', 'Women']",[],Matching Clothing Sets for Women. We've all been there. Running from store to store looking for the perfect top to wear with your favorite pair of jeans.,https://www.kohls.com/catalog/womens-sets-clothing.jsp?CN=Gender:Womens+Feature:Sets+Department:Clothing
14,Women's Designer Matching Sets | Saks Fifth Avenue,Women's clothes set,"['Sets', ""Women's Clothing"", 'Sets']",[],"Designer Matching Sets at Saks: Enjoy free shipping and returns, and discover new arrivals from today's top brands. ... Women's Clothing; Matching Sets ...",https://www.saksfifthavenue.com/c/women-s-apparel/matching-sets
15,Shop All Matching Sets - Fashion Nova,Women's clothes set,"['sets', 'women']",[],"Two is better than one - Two piece sets for women. Shop our dynamite daytime styles or knock out night time ensembles- matching tops, pants, skirts & more!",https://www.fashionnova.com/collections/matching-sets
