position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Boys Coats and Jackets - Macy's,boy's Jackets & Coats,"['boys', 'coats', 'jackets', 'coats', 'jackets', 'boys']",[],Looking for the best collection of boys' coats and jackets available? Shop coats and jackets for boys at Macy's! Free shipping available.,https://www.macys.com/shop/kids-clothes/boys-coats-jackets?id=188754
2,Boys' Outerwear Jackets & Coats - Amazon.com,boy's Jackets & Coats,"['boys jackets', 'coats', 'Boys', 'Jacket', 'Coat']",[],Shop for boys jackets and coats on Amazon.com. ... Boys' Reversible Jacket - Deer Harbor Waterproof Lightweight Puffer Coat with Faux Shearling Lining (5-16).,https://www.amazon.com/Boys-Jackets-and-Coats/b?ie=UTF8&node=1046120
3,Boys' Jackets & Vests - DICK'S Sporting Goods,boy's Jackets & Coats,"['boys', 'coats', 'jackets', 'coats', 'boys']",[],Gear up for cold weather with boys' winter coats and jackets from DICK'S Sporting Goods. Browse the latest styles of winter coats for boys and find low ...,https://www.dickssportinggoods.com/f/boys-jackets-vests
4,boys coats & jackets | abercrombie kids,boy's Jackets & Coats,"['boys', 'jackets', 'coats', 'boys', 'jackets', 'jacket']",[],"Shop boys fall jackets & lightweight coats at abercrombie kids. From boys denim jackets to windbreakers & bombers, there's a jacket for every season!",https://www.abercrombie.com/shop/us/kids/boys-outerwear-and-jackets
5,Boys' Coats & Jackets - Nordstrom,boy's Jackets & Coats,"['boys', 'coats', 'jackets', 'vests', 'jackets']",[],"Free shipping and returns on boys' coats & jackets at Nordstrom.com. Find fleece, vests, water repellent, puffer jackets, and more.",https://www.nordstrom.com/browse/kids/boys-clothing/coats-jackets
6,Boys' Coats & Jackets - Target,boy's Jackets & Coats,"['Coats', 'Jackets']",[],"Shop Target for Coats & Jackets you will love at great low prices. Choose from Same Day Delivery, Drive Up or Order Pickup. Free standard shipping with $35 ...",https://www.target.com/c/coats-jackets-boys-clothing-kids/-/N-5xtxv
7,Boys' Coats & Jackets | Kohl's,boy's Jackets & Coats,"['coat', 'jacket', 'Boys', 'Coat', 'Jacket', 'boy', 'coat']",[],It's best to begin your coat or jacket search by checking Kohl's Size Charts to ensure your Boys' Coat or Jacket fits your growing boy. Read below to get a coat ...,https://www.kohls.com/catalog/boys-kids-coats-jackets-outerwear-clothing.jsp?CN=Gender:Boys+AgeAppropriate:Kids+Product:Coats%20%26%20Jackets+Category:Outerwear+Department:Clothing
8,Boys' Coats & Jackets | Lands' End,boy's Jackets & Coats,"['boys', 'coats', 'jackets', 'boys', 'coats', 'jackets']",[],"Shop boys' coats and jackets at Lands' End. Free shipping available. We have the variety of styles, sizes, and colors of boys' coats, jackets and parkas.",https://www.landsend.com/shop/boys-coats-jackets-outerwear/S-xfi-xez-y5e-xhi-xec
9,Boys' Coats & Jackets | Fleece Jackets for Boys - JCPenney,boy's Jackets & Coats,"['boys', 'jackets', 'coats']",[],Shop for boys' jackets and coats at JCPenney where you'll find great deals on all outwear for cool days and nights. Free shipping available online!,https://www.jcpenney.com/g/baby-kids/outerwear/coats-jackets/boys?id=cat11100000068
10,Boys' Coats & Jackets | Nordstrom Rack,boy's Jackets & Coats,"['Boys', 'Coats', 'Jackets', 'Boys', 'Coats', 'Jackets']",[],Shop a great selection of Boys' Coats & Jackets at Nordstrom Rack. Find designer Boys' Coats & Jackets up to 70% off.,https://www.nordstromrack.com/shop/kids/boy/coats-and-jackets
11,boys' outerwear (2-8y) - Outdoor Jackets & Coats - H&M,boy's Jackets & Coats,"['outerwear', 'boys', 'jackets']",[],"Discover all their outerwear needs with our boys' jackets, pants and all-in-one snow suits. Browse a range of colors and styles online at H&M.",https://www2.hm.com/en_us/kids/boys/outerwear.html
12,Boys Jackets and Coats - Outerwear - Appaman,boy's Jackets & Coats,"['outerwear', 'boys jackets']",[],"Shop outerwear from Appaman for the latest boys jackets, windbreakers, and blazers. Discover the new arrival of fits and styles online today.",https://www.appaman.com/collections/boys-outerwear
