position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Buy Boys Clothing Sets online in India - Myntra,boys clothing set,"['Boys Clothing Sets', 'Boys Clothing Sets', 'Boys Clothing Sets']",[],Boys Clothing Sets Online shopping for Boys Clothing Sets in India. ✯ Buy Boys Clothing Sets ✯ Free Shipping ✯ Cash on Delivery ✯ Easy returns and ...,https://www.myntra.com/boys-clothing-sets
2,Buy Latest & Trendy Boys Clothes Online - Myntra,boys clothing set,"['Boys Clothing', 'Boys Dress']",[],"Boys Clothing - Myntra offers a wide range of Boys Dress Online in India. Shop for the latest collection of Boy's T-Shirts, Shirts, Jackets of top brands at ...",https://www.myntra.com/boys-clothing
3,Buy Boys Clothing Sets online in India - Myntra,boys clothing set,"['Boys Clothing Sets', 'Boys Clothing Sets']",[],Online shopping for Boys Clothing Sets ✯ Shop Online Boys Clothing Sets ✯ Free Shipping ✯ Cash on Delivery ✯ Easy returns and exchanges.,https://www.myntra.com/boys-clothing-sets-menu
4,Buy Trendy Boys Clothes Online - Hopscotch,boys clothing set,['boys clothes'],[],Online shopping for boys clothes in India at the best prices. Buy the latest trendy boys wear online with hopscotch.,https://www.hopscotch.in/boys
5,Buy Boys Combo Sets Online at Best Prices in India - Flipkart,boys clothing set,"['apparel', 'boys']",[],"There are many different types of apparel combos for kids that you can buy online. For boys, there are T-shirt and shorts combos, T-shirt and pyjama combos, T- ...",https://www.flipkart.com/clothing-and-accessories/kids-combos-and-costumes/kids-apparel-combos/pr?sid=clo%2Ceof%2C1bp
6,Buy Boy's Outfits & Clothing Sets Online at Low Prices in India,boys clothing set,"['Clothing Sets', ""Boy's"", 'Boys', 'Clothing Set']",[],Shop Outfits & Clothing Sets for Boy's from popular brands ... Attis Boys And Girls Cotton Stylish Tshirt & Pant Kids Clothing Set.,https://www.amazon.in/boys-outfit-clothing-sets/b?ie=UTF8&node=1967893031
7,Amazon.in: 50% Off Or More - Clothing Sets / Boys,boys clothing set,['Boys'],[],"1-48 of over 5,000 results. RESULTS · Bold N Elegant - Be Bold Inside & Elegant Outside Baby's Cotton Tshirt · Hopscotch Boys Gray Graphic Print Top and ...",https://www.amazon.in/Clothing-Sets-50-Off-or-more/s?rh=n%3A1967893031%2Cp_n_pct-off-with-tax%3A2665401031
8,Boys' Outfits & Sets | H&M IN,boys clothing set,"['boys', 'sets']",[],"Make everyday dressing a breeze with our boys' pre-packed outfits and sets. Find matching sweatshirts and joggers, as well as multipacks at H&M.",https://www2.hm.com/en_in/kids/boys/clothing/sets-outfits.html
9,Buy Casual Boys Dress with Top & Bottom Sets Online ...,boys clothing set,"['Boys Dress', 'Set']",[],"Casual Boys Dress get wide range of T-shirts, shorts Set & many more at best prices only at Snapdeal with FREE Shipping & COD options ...",https://www.snapdeal.com/products/boys-clothing-sets
10,Bestsellers in Boys' Clothing Sets - Amazon.in,boys clothing set,"['Boys', 'Clothing Sets']",[],Amazon BestsellersOur most popular products based on sales. Updated frequently. Bestsellers in Boys' Clothing Sets.,https://www.amazon.in/gp/bestsellers/apparel/1967893031
11,11 - 12 Years - Clothing Sets / Boys - Amazon.in,boys clothing set,"['Clothing Set', 'Dress', 'Boys', 'Set']",[],"Clothing Set, 3 Piece Dress for Kids Boys, Jacket, Pant, Bow and Shirt Set, Ideal for Wedding, Birthday and Party.",https://www.amazon.in/Clothing-Sets-11-12-years-Boys/s?rh=n%3A1967893031%2Cp_n_size_browse-vebin%3A2081578031
12,Amazon.in: ₹1000 - ₹1500 - Clothing Sets / Boys,boys clothing set,"['Clothing Set', 'Dress', 'Boys', 'Set']",[],"Clothing Set, Indo Western Dress for Kids Boys, Jacket and Pant Set, Ideal for Wedding, Birthday and Party.",https://www.amazon.in/Clothing-Sets-%E2%82%B91-000-500-Boys/s?rh=n%3A1967893031%2Cp_36%3A4595087031
13,Amazon.in: Casual - Clothing Sets / Boys,boys clothing set,"['Set', 'Boys Clothing']",[],"Googogaaga Boy's Cotton Printed Tie & Die T-shirt With Shorts in Blue Color Set for Boys ... Zolario Boys Clothing, Dress for Kids Boys, ...",https://www.amazon.in/Clothing-Sets-Casual-Boys/s?rh=n%3A1967893031%2Cp_n_special_occasion_browse-bin%3A1974809031&page=2
14,Amazon.in: 2 - 3 Years - Clothing Sets / Boys,boys clothing set,"['Boys', 'Set', 'Clothing Set', 'Dress']",[],"Baby Boys Cotton and Viscose Checked Full Sleeves Shirt and Pant Set in Yellow Color ... Zolario Clothing Set, Indo Western Dress for Kids ...",https://www.amazon.in/Clothing-Sets-2-3-years-Boys/s?rh=n%3A1967893031%2Cp_n_size_browse-vebin%3A2081569031
15,Amazon.in: 9 - 10 Years - Clothing Sets / Boys,boys clothing set,"['Clothing Set', 'Dress', 'Boys', 'Set']",[],"Clothing Set, Indo Western Dress for Kids Boys, Jacket and Pant Set, Ideal for Wedding, Birthday and Party. 3.83.8 out of 5 stars (255).",https://www.amazon.in/Clothing-Sets-9-10-years-Boys/s?rh=n%3A1967893031%2Cp_n_size_browse-vebin%3A2081576031
16,Amazon.in: 10 - 11 Years - Clothing Sets / Boys,boys clothing set,"['Clothing Set', 'Dress', 'Boys', 'Set']",[],"Clothing Set, Indo Western Dress for Kids Boys, Jacket and Pant Set, Ideal for Wedding, Birthday and Party. 3.83.8 out of 5 stars (255).",https://www.amazon.in/Clothing-Sets-10-11-years-Boys/s?rh=n%3A1967893031%2Cp_n_size_browse-vebin%3A2081577031
17,Plaid - Clothing Sets / Baby Boys - Amazon.in,boys clothing set,['Boys Clothes Set'],[],Boys Clothes Set 4 pcs Plaid Shirts+Bowtie+Suspender Pant Sets Infant ... Toddler Baby Boy Clothes Plaid Pocket Hoodie Sweatshirt+Pants Outfits Set.,https://www.amazon.in/Clothing-Sets-Plaid-Baby-Boys/s?rh=n%3A1953173031%2Cp_n_feature_nine_browse-bin%3A28972535031
18,5 - 6 Years - Clothing Sets / Boys - Amazon.in,boys clothing set,"[""Boy's"", 'Set', 'Set', 'Dress', 'Boys']",[],1-48 of 990 results. RESULTS · Googogaaga Boy's Cotton Printed Top with Jogger Set in Navy Blue Color Set · 3BROS BodySuit/Dress/Baba Suit for Boys/Girls ...,https://www.amazon.in/Clothing-Sets-5-6-years-Boys/s?rh=n%3A1967893031%2Cp_n_size_browse-vebin%3A2081572031
19,Amazon.in: 4 - 5 Years - Clothing Sets / Boys,boys clothing set,"['Set', 'Boys Clothing']",[],"Baby Boys Cotton and Viscose Checked Full Sleeves Shirt and Pant Set in Yellow Color ... Zolario 3 Piece Boys Clothing Dress for Kids Boys, ...",https://www.amazon.in/Clothing-Sets-4-5-years-Boys/s?rh=n%3A1967893031%2Cp_n_size_browse-vebin%3A2081571031
20,Amazon.in: 3 - 4 Years - Clothing Sets / Boys,boys clothing set,"['Boys', 'Set', 'Boys']",[],"1-48 of over 1,000 results. RESULTS · Hopscotch Boys Cotton All-Over Print T-Shirt with Jacket & Pant Set in · Hopscotch Boys Navy Polka Dot Print Top and ...",https://www.amazon.in/Clothing-Sets-3-4-years-Boys/s?rh=n%3A1967893031%2Cp_n_size_browse-vebin%3A2081570031
