position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,men's jackets & coats - Clothing - Amazon.com,men Jackets & Coats,"['mens jackets', 'coats']",[],Shop from a wide selection of mens jackets and coats on Amazon.com. Free shipping and free returns on eligible items.,https://www.amazon.com/Mens-Jackets/b?ie=UTF8&node=1045830
2,Men's Coats & Jackets | Nordstrom,men Jackets & Coats,"[""men's jackets & coats""]",[],"Free shipping on men's jackets & coats at Nordstrom.com. Shop bomber, trench, overcoat, and pea coats from Burberry, Canada Goose, The North Face, and more.",https://www.nordstrom.com/browse/men/clothing/coats-jackets
3,Men's Jackets & Coats | H&M Indonesia,men Jackets & Coats,"[""men's jacket"", 'coats']",[],Keep warm with stylish men's jacket and coats from H&M Indonesia. Shop online and get your order delivered straight to your home with free delivery today!,https://id.hm.com/id_en/men/shop-by-product/jackets-coats.html
4,Men's Coats & Jackets - ASOS,men Jackets & Coats,"[""men's coats"", 'jackets', 'leather', 'jackets', 'coats']",[],"Discover men's coats and jackets with ASOS. Shop a range of styles from leather and denim jackets, to trench and rain coats. Order today at ASOS.",https://www.asos.com/men/jackets-coats/cat/?cid=3606
5,Men's Jackets & Coats - Target,men Jackets & Coats,['Jackets & Coats'],[],"Shop Target for Jackets & Coats you will love at great low prices. Choose from Same Day Delivery, Drive Up or Order Pickup. Free standard shipping with $35 ...",https://www.target.com/c/jackets-coats-men-s-clothing/-/N-5xu2a
6,Mens Jackets & Coats - Sports Direct,men Jackets & Coats,"['mens jackets', 'coats']",[],"Get ready for winter with our range of mens jackets, coats, parkas, body warmer bombers & windbreakers from top brands such as Nike, Calvin Klein & more.",https://www.sportsdirect.com/mens/clothing/jackets-and-coats
7,Men's Coats & Jackets - Macy's,men Jackets & Coats,"[""men's coat"", 'jacket', ""men's"", 'jackets', 'coats']",[],"Shop the latest men's coat and jacket styles, including men's puffer jackets, overcoats, peacoats, winter coats and more from top brands!",https://www.macys.com/shop/mens-clothing/mens-jackets-coats?id=3763
8,Men's Coats & Jackets | John Lewis & Partners,men Jackets & Coats,"['Coats', 'Jackets', ""Men's Coats"", 'Jackets', 'Jackets', 'Jackets', 'Leather Jackets']",[],"John Lewis Coats & Jackets. Choose from a great range of Men's Coats & Jackets. Including Barbour Jackets, Waterproof Jackets, and Leather Jackets.",https://www.johnlewis.com/browse/men/mens-coats-jackets/_/N-ea9
9,Men's Coats & Jackets | M&S,men Jackets & Coats,"[""men's coats"", 'jackets']",[],"When days turn chilly, keep cosy with our stylish and modern men's coats and jackets. Shop formal overcoats and casual bombers in the collection at M&S.",https://www.marksandspencer.com/l/men/mens-coats-and-jackets
10,Men's Winter Coats | Men's Jackets - Next UK,men Jackets & Coats,"[""men's coats"", 'jackets', ""men's jackets"", 'coats']",[],Discover a wide range of men's coats and jackets at Next. Stylish men's jackets and winter coats from popular brands. Next day delivery and free returns ...,https://www.next.co.uk/shop/gender-men-productaffiliation-coatsandjackets-0
11,Men's Coats & Jackets | MYER,men Jackets & Coats,"[""Men's Coats"", 'Jackets', ""Men's Coats"", 'Jackets']",[],Stocktake Sale Now On! Shop our range of Men's Coats & Jackets & more at Myer. Shop with Afterpay*. Buy Men's Coats & Jackets with Click & Collect in-store.,https://www.myer.com.au/c/men/mens-clothing/mens-coats-jackets
12,"Men's Coats & Jackets | Bomber, Leather & Puffer | H&M US",men Jackets & Coats,"['jackets', 'coats', ""men's"", 'jackets', 'coat']",[],"Choose from rain jackets, stylish trench coats, warm puffers and more at H&M. Discover men's denim jackets or go for a sharp wool coat.",https://www2.hm.com/en_us/men/products/jackets-coats.html
13,Mens Coats & Jackets | Mens Designer Jackets UK,men Jackets & Coats,"[""men's coats"", 'jackets', 'jackets', 'jackets', 'jackets']",[],"Shop the edit of men's coats and jackets at HOF. Explore a range of puffer jackets, bomber jackets, overshirts, wax jackets, blazers and more...",https://www.houseoffraser.co.uk/men/coats-and-jackets
14,Cheap Mens Jackets & Coats | Up to 75% off | MandM Direct,men Jackets & Coats,"['Mens Jackets', 'Coats', 'Mens', 'Jacket', 'Mens', 'Mens']",[],Mens Jackets and Coats · Trespass Mens Corvo Hooded Waterproof Shell Jacket Black · Trespass Mens Baldwin Insulated Waterproof Parka Black · French Connection Mens ...,https://www.mandmdirect.com/01/mens/jackets-and-coats
15,Men's Jackets and Coats | The North Face,men Jackets & Coats,"[""men's jackets"", 'coats']",[],"From frigid mountainsides to autumn trails to nighttime bonfires, stay warm with The North Face men's jackets and coats for all weather.",https://www.thenorthface.com/en-us/mens/mens-jackets-and-vests-c211702
16,"Get Outerwear for Men | Denim, Rain Coats + More - Uniqlo",men Jackets & Coats,"['outerwear', 'men', 'jackets', 'coats']",[],"Browse all outerwear for men from UNIQLO US. Shop stylish and comfy jackets, coats & more in a wide range of colors and sizes, for reasonable prices.",https://www.uniqlo.com/us/en/men/outerwear-and-blazers
17,Men's Jackets & Outerwear - DICK'S Sporting Goods,men Jackets & Coats,"[""men's jackets"", 'coats', ""men's coats""]",[],Shop men's jackets and winter coats at DICK'S Sporting Goods. Browse a wide selection of men's coats from your favorite brands at low prices with our Best ...,https://www.dickssportinggoods.com/f/mens-jackets-vests
18,Men's Winter Coats | Men's Coats & Jackets | Footasylum,men Jackets & Coats,"[""men's coat"", 'jacket']",[],Looking for a fashion-forward men's coat? A must-have is the North Face 1996 retro printed Nuptse jacket. With tight front fastenings and RDS goose-down fill ...,https://www.footasylum.com/mens/mens-clothing/jackets-coats/
19,Low Price Offer on Jackets & Coats for Men - AJIO,men Jackets & Coats,"[""men's jackets & coats""]",[],"Buy Jackets & Coats for Men. Huge collection of men's jackets & coats at low offer price & discounts at COD, Easy Returns & Exchanges. Order Now.",https://www.ajio.com/men-jackets-coats/c/830216010
20,Men's Jackets | Casual Jackets - Superdry,men Jackets & Coats,"[""men's jackets"", 'coats', 'jackets']",[],Our premium men's jackets and coats are designed with innovation in mind. Our jackets are ready to protect you in the most changeable weather conditions.,https://www.superdry.com/mens/jackets
21,Military Style Jacket Men 2018 Cotton mens jackets & coats ...,men Jackets & Coats,['mens jackets & coats'],[],"Beli Military Style Jacket Men 2018 Cotton mens jackets & coats Army Men's slim Jackets Air Terbaru Harga Murah di Shopee. Ada Gratis Ongkir, Promo COD, ...",https://shopee.co.id/Military-Style-Jacket-Men-2018-Cotton-mens-jackets-coats-Army-Men's-slim-Jackets-Air-i.170036196.2733522341
22,Coats & Jackets for Men - Nordstrom Rack,men Jackets & Coats,"[""men's jackets & coats""]",[],Nordstrom Rack has you covered with men's jackets & coats for up to 70% off top brands. Discover your personal style at Nordstrom Rack.,https://www.nordstromrack.com/shop/Men/Clothing/Coats%20&%20Jackets
23,"Men's Jackets & Coats: Puffers, Blazers & more | David Jones",men Jackets & Coats,"[""Men's Coats"", 'Jackets']",[],Men's Coats & Jackets. Shop an exclusive range of designers online at David Jones. Free express shipping over $50 or 3 hour click & collect.,https://www.davidjones.com/men/clothing/coats-and-jackets
24,Men's Jackets & Coats - TK Maxx,men Jackets & Coats,"[""men's coat"", 'jackets', ""men's coats""]",[],"Explore the outdoors in a men's coat for all occasions. From winter jackets to long designer styles, our men's coats will keep you warm at up to ...",https://www.tkmaxx.com/uk/en/men/clothing/jackets+coats/c/02020700
25,"Men's Jackets, Coats & Vests - Ralph Lauren",men Jackets & Coats,"[""men's"", 'jackets & coats', 'leather']",[],"Shop men's designer jackets & coats in materials such as down, leather, suede, nylon, and more. Free Fast Shipping with an RL Account ...",https://www.ralphlauren.com/men-clothing-jackets-coats-vests
26,Men's Jackets & Coats | Abercrombie & Fitch,men Jackets & Coats,"[""men's jackets & coats""]",[],"Gear up for cooler weather in Abercrombie & Fitch men's jackets & coats. From denim jackets to puffer jackets, there's a wide assortment to choose from.",https://www.abercrombie.com/shop/us/mens-coats-and-jackets
27,Buy Mens Coats & Jackets Online Australia - THE ICONIC,men Jackets & Coats,"['mens Jackets', 'jackets', 'coats', 'coats', 'outerwear', 'men']",[],"Buy mens Jackets online. Designer jackets, coats, sports coats, and outerwear for men, from top Australian and international designers and brand ...",https://www.theiconic.com.au/mens-clothing-coats-jackets/
28,Men's Jackets & Coats for All Seasons | REI Co-op,men Jackets & Coats,"[""Men's Jackets""]",[],Shop for Men's Jackets at REI - FREE SHIPPING With $50 minimum purchase. Curbside Pickup Available NOW! 100% Satisfaction Guarantee.,https://www.rei.com/c/mens-jackets
29,Men's Coats & Jackets | Debenhams,men Jackets & Coats,"['coats', 'jackets', ""Men's""]",[],Browse our wide range of coats & jackets from the Men's department at Debenhams. Get it with FREE standard delivery & returns.,https://www.debenhams.com/category/mens-coats-jackets
30,Jackets & Coats for men - AlphaTauri,men Jackets & Coats,"['Jackets & Coats', 'men', ""men's outerwear"", 'coats', 'jackets']",[],"Jackets & Coats for men. AlphaTauri's take on men's outerwear reimagines parkas, coats and jackets in pioneering textile technologies like TAUROBRAN®.",https://alphatauri.com/en-int/c/men-jackets-coats/
31,Men's Jackets & Coats | Columbia Sportswear,men Jackets & Coats,"[""men's"", 'jackets', 'coats']",[],"Up to 40% off select gear. Discover the warmth only Columbia offers, with our wide range of men's windbreakers, puffer jackets, and winter coats.",https://www.columbia.com/c/mens-jackets-coats/
32,Men's Coats & Men's Jackets | JD Sports UK,men Jackets & Coats,"[""Men's Coats"", ""Men's Jackets""]",[],"Shop our range of Men's Coats & Men's Jackets online at JD Sports ✓Free Standard Delivery Over £70 ✓10% Student Discount ✓Buy Now, Pay Later.",https://www.jdsports.co.uk/men/mens-clothing/jackets/
33,"Mens Coats & Jackets | Winter, Long & Smart Coats - Matalan",men Jackets & Coats,"['mens coats', 'jackets', 'jackets']",[],Shop Matalans range of mens coats and jackets to keep you wrapped up this winter. Choose from a wide selection of raincoats and waterproof jackets.,https://www.matalan.co.uk/mens/coats-and-jackets
34,Mens Jackets & Coats - Gant,men Jackets & Coats,"['jacket', 'coat', 'jackets', 'coats', 'men']",[],"A well fitted jacket or coat are a must in your everyday wardrobe. Our jackets and coats for men come in a range of different styles, fits and colors. Find ...",https://gant.com/mens-jackets-coats
35,Men's Jackets & Coats | H&M CA,men Jackets & Coats,"['Outerwear', ""men's jackets"", 'coats']",[],"Outerwear never looked better thanks to our men's jackets and coats. When it comes to cooler days, scroll through our selection of trendy biker, ...",https://www2.hm.com/en_ca/men/shop-by-product/jackets-and-coats.html
36,Men's Jackets & Coats | H&M SG,men Jackets & Coats,"[""men's jackets"", 'coats', 'coats', 'jackets', 'jackets']",[],"Shop for men's jackets and coats at H&M. Find tailored coats and practical parkas, denim jackets, biker jackets and modern bomber styles.",https://www2.hm.com/en_sg/men/shop-by-product/jackets-and-coats.html
37,"Jackets For Men | Mens Coats, Blazers & Overcoats - Arnotts",men Jackets & Coats,"['mens coats', 'coats', 'jackets']",[],"Browse our wide range of mens coats, blazers, overcoats, trench coats, gilets & bomber jackets at our landmark Dublin store or shop online at Arnotts.",https://www.arnotts.ie/men/clothing/coats-jackets/
38,Men's Jackets & Coats - Work World,men Jackets & Coats,"[""men's jackets"", 'coats', 'outerwear']",[],Stay warm on the job with our collection of men's jackets and coats from Carhartt and other top outerwear brands.,https://www.workworld.com/collections/mens-outerwear-jackets-coats
39,Men's Jackets & Coats - Ouku,men Jackets & Coats,"[""Men's"", 'Jacket', 'Jacket', 'Coat', 'Outerwear']",[],Men's Puffer Jacket Winter Jacket Winter Coat Windproof Warm Casual Daily Wear Stripes and Plaid Outerwear Clothing Apparel Casual Daily Trendy Black Light ...,https://www.ouku.com/c/men-s-jackets-coats_35223?prm=1.1.51.0
40,Men's Coats & Jackets - Nordstrom Canada,men Jackets & Coats,"[""men's jackets & coats""]",[],"Free shipping on men's jackets & coats at Nordstrom.ca. Shop bomber, trench, overcoat, and pea coats from Burberry, Canada Goose, The North Face, and more.",https://www.nordstrom.ca/browse/men/clothing/coats-jackets
41,Men's Jackets & Coats | H&M AU,men Jackets & Coats,"[""MEN'S JACKETS & COATS""]",[],"MEN'S JACKETS & COATS. Our short jackets and long coats for men look great all year long. With our fashionable selection, you'll be ...",https://www2.hm.com/en_au/men/products/jackets-and-coats.html
42,Men's Jackets & Coats | Puffer Jackets & Winter Coats | H&M GB,men Jackets & Coats,"[""men's"", 'coat', ""men's leather jacket"", ""men's coats"", 'jackets']",[],Adopt a powerful silhouette with a men's parka coat. Find your new weekend staple with a men's leather jacket. Shop the latest trends in men's coats and jackets ...,https://www2.hm.com/en_gb/men/shop-by-product/jackets-and-coats.html
43,Men's Jackets & Coats | H&M IN,men Jackets & Coats,"[""men's jackets"", 'coats', 'coats', 'jackets', 'jackets']",[],"Shop for men's jackets and coats at H&M. Find tailored coats and practical parkas, denim jackets, biker jackets and modern bomber styles.",https://www2.hm.com/en_in/men/shop-by-product/jackets-coats.html
44,Sale | Men's Jackets & Coats | H&M GB,men Jackets & Coats,"[""Men's jackets & coats""]",[],"Men's jackets & coats - sale. Shop for men's jackets and coats at H&M. Find tailored coats and practical parkas, denim jackets, biker jackets and modern ...",https://www2.hm.com/en_gb/sale/men/jacketscoats.html
45,Mens Designer Coats and Jackets | Selfridges,men Jackets & Coats,"[""men's coats"", 'jackets']",[],"Our men's coats and jackets are the antidotes to cooler temperatures. Browse designer overcoats, parkas and puffer styles in our collection at Selfridges.",https://www.selfridges.com/GB/en/cat/mens/clothing/coats-jackets/
