position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Men's Sweaters & Cardigans - Macy's,men's Shirts & Sweaters,"['sweaters', 'men']",[],"Shop all cardigans and sweaters for men at Macy's, featuring turtleneck, crewneck, and polo designs. FREE shipping available at macys.com!",https://www.macys.com/shop/mens-clothing/mens-sweaters?id=4286
2,Men's Sweaters | Nordstrom,men's Shirts & Sweaters,"[""men's sweaters"", 'pullover sweaters']",[],"Free shipping and returns on men's sweaters at Nordstrom.com. Find crewneck, V-neck, cardigans, pullover sweaters, and more. Shop from top brands like Polo ...",https://www.nordstrom.com/browse/men/clothing/sweaters
3,Men's Sweaters - Nordstrom Rack,men's Shirts & Sweaters,"[""Men's"", 'Sweatshirts', ""Men's Sweatshirts""]",[],Shop for Men's Hoodies & Sweatshirts at Nordstrom Rack. Find designer Men's Sweatshirts & Hoodies up to 70% off online or in-store.,https://www.nordstromrack.com/shop/Men/Clothing/Sweaters
4,men's sweaters - Clothing - Amazon.com,men's Shirts & Sweaters,['mens sweaters'],[],Shop for mens sweaters on Amazon.com. Free shipping and free returns on eligible items.,https://www.amazon.com/Mens-Sweaters/b?ie=UTF8&node=1044442
5,Men's Shirts & Sweaters | Allen Edmonds,men's Shirts & Sweaters,"[""men's shirts & sweaters""]",[],Shop the latest men's shirts & sweaters by Allen Edmonds. Fine dress casual shirts & cable knit sweaters for any occasion.,https://www.allenedmonds.com/apparel/shirts
6,Men's Sweaters & Cardigans - Express,men's Shirts & Sweaters,"['Clothing', 'Sweaters', 'Men', 'Clothing']",[],Women. Clothing. Tops · Sweaters · Men. Clothing. Full Suits · Suit Jackets & Blazers · Jeans. Women's Jeans. All Women's Jeans · Relaxed Jeans · New. Women's New.,https://www.express.com/mens-clothing/sweaters/cat1490005
7,"Men's Sweatshirts, Sweaters, T-Shirts, Hoodies",men's Shirts & Sweaters,"['sweaters', 'sweatshirts', 'tees']",[],"He'll look great in stylish sweaters, personalized sweatshirts, tees, hoodies and more. Buy now pay later with Wards Credit.",https://www.wards.com/c/clothing-shoe-acc/m-clothes/shirt-sweater/
8,"Men's Shirts, Tees, Flannels, and Hoodies | American Eagle",men's Shirts & Sweaters,"[""Men's Shirts"", ""men's"", 'shirts', 'sweatshirts']",[],"Shop Men's Shirts and Tops at American Eagle. Find your favorite men's hoodies, flannels, thermals, t shirts, sweatshirts & more in new colors and fits ...",https://www.ae.com/us/en/c/men/tops/cat10025
9,27 Best Men's Sweaters 2021 | The Strategist,men's Shirts & Sweaters,"['men', 'sweaters', 'sweater', 'shirts']",[],"We asked 26 men about their favorite sweaters,and heard about ... style of sweater since they can easily be paired with both T-shirts and ...",https://nymag.com/strategist/article/best-mens-sweaters.html
10,"Mens Shirts, Sweaters, Ugly Sweaters, Dress Shirts | Lids.com",men's Shirts & Sweaters,"['Mens', 'shirts', 'sweaters', 'sweaters', 'shirts']",[],"Shop for Mens dress shirts and sweaters at the Lids Shop. Browse our selection of ugly sweaters, button down shirts, and more at the official Store.",https://www.lids.com/men/shirts-and-sweaters/ga-78+d-95442905+z-80990-342936323
11,mens clothing: Men's Sweaters | Dillard's,men's Shirts & Sweaters,"['mens clothing', ""Men's Sweaters"", 'Pullover', 'Pullover', ""Men's""]",[],mens clothing : Men's Sweaters · AntiguaNHL Western Conference Quarter-Zip Pullover · AntiguaNHL Eastern Conference Quarter-Zip Pullover · The North FaceMen's ...,https://www.dillards.com/search-term/mens+clothing/men-sweaters
