position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Men's T-Shirts,men's Shirts & T-Shirts,"['mens t', 'shirts']",[],Shop for mens t-shirts on Amazon.com. Free shipping and free returns on eligible items.,https://www.amazon.com/Mens-T-Shirts/b?ie=UTF8&node=1045624
2,Men's Shirts - Clothing,men's Shirts & T-Shirts,['mens shirts'],[],Shop mens shirts on Amazon.com. Free shipping and free returns on eligible items.,https://www.amazon.com/Mens-Shirts/b?ie=UTF8&node=2476517011
3,Men's T-shirts & Tank Tops | Shop T-shirts for Men | ASOS,men's Shirts & T-Shirts,"[""men's t"", 'shirts', 't', 'shirts']",[],"Discover men's t-shirts and tank tops at ASOS. Shop from plain, printed and long sleeve t-shirts and tank tops to longline and oversized styles with ASOS.",https://www.asos.com/us/men/t-shirts-tank-tops/cat/?cid=7616
4,Men's T-Shirts,men's Shirts & T-Shirts,"[""Men's T"", 'Shirts', ""Men's T"", 'Shirts']",[],"Shop Men's T-Shirts at DICK'S Sporting Goods. If you find a lower price on Men's T-Shirts somewhere else, we'll match it with our Best Price Guarantee.",https://www.dickssportinggoods.com/f/mens-t-shirts
5,Men's T-Shirts,men's Shirts & T-Shirts,"[""Men's Tees"", 'T', 'Shirt', 'tees']",[],Shop Tillys for our awesome selection Men's Tees and complete your classic Jeans and T-Shirt look. Check out great graphic tees or keep it simple with solid ...,https://www.tillys.com/men/clothing/t-shirts/
6,Mens Apparel - T-Shirts,men's Shirts & T-Shirts,"['T', 'Shirts', 'Men']",[],Shop the Latest Collection of T-Shirts for Men Online at Macys.com. FREE SHIPPING AVAILABLE!,https://www.macys.com/shop/mens-clothing/mens-t-shirts?id=30423
7,Men's Tees & T-Shirts,men's Shirts & T-Shirts,"['T', 'Shirts', 'Men', 'shirt', 'mens t shirt']",[],T-Shirts for Men · What is a henley? A henley is a casual shirt that typically has three buttons at the neckline. · What to wear with a black mens t shirt? A ...,https://www.express.com/mens-clothing/shirts/tees-henleys/cat430030
8,Mens T-Shirts,men's Shirts & T-Shirts,"[""Men's T"", 'Shirts', 'T', 'Shirt', 'T', 'Shirt']",[],Men's T-Shirts · Georgia Crewneck T-Shirt · Long Sleeve NSE Box Logo Graphic Tee · Long Sleeve Mock Neck Cotton Graphic Tee · Millwood Long Sleeve Henley T-Shirt.,https://www.nordstrom.com/browse/men/clothing/shirts/tshirts
9,Men's T-Shirts | REI Co-op,men's Shirts & T-Shirts,"[""Men's T"", 'Shirts']",[],Shop for Men's T-Shirts at REI - FREE SHIPPING With $50 minimum purchase. Curbside Pickup Available NOW! 100% Satisfaction Guarantee.,https://www.rei.com/c/mens-t-shirts
10,Men's T-Shirts | Design By Humans,men's Shirts & T-Shirts,"[""Men's T"", 'Shirts', ""Men's T"", 'Shirts']",[],Shop Men's T-Shirts designs from thousands of artists around the world. Find artistic and unique Men's T-Shirts for sale from Design By Humans.,https://www.designbyhumans.com/shop/mens-t-shirts/
