position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Women's Jackets & Outerwear,women Jackets & Coats,"[""women's jackets"", ""women's coats""]",[],Shop women's jackets at DICK'S Sporting Goods. Browse a wide selection of women's coats from your favorite brands at low prices with our Best Price ...,https://www.dickssportinggoods.com/f/womens-jackets-vests
2,Jackets & Coats for Women,women Jackets & Coats,"['coats', 'jackets', 'women']",[],"Shop cozy coats, jackets, and vests for women only at JCPenney. Upgrade your wardrobe with cool outfits at great prices. Free shipping available!",https://www.jcpenney.com/g/women/coats-jackets?id=cat100250094
3,Women's Coats & Jackets,women Jackets & Coats,"['coats', 'jackets', 'women', 'coats']",[],"Free shipping and returns on coats, jackets and blazers for women at Nordstrom.com. Shop winter coats, peacoats, raincoats & blazers from top brands.",https://www.nordstrom.com/browse/women/clothing/coats-jackets
4,"Coats, Jackets & Blazers for Women",women Jackets & Coats,"[""women's coats"", 'jackets', ""women's coats"", 'outerwear']",[],Keep it cozy with Nordstrom Rack's selection of women's coats & jackets. Shop women's coats & outerwear today & find your favorite brands at up to 70% off.,https://www.nordstromrack.com/shop/Women/Clothing/Coats%20&%20Jackets
5,Coats & Jackets for Women,women Jackets & Coats,"[""women's coats"", 'jackets']",[],"Shop Target for the latest styles in women's coats, jackets and blazers. Free shipping on orders $35+ & free returns plus same-day in-store pickup.",https://www.target.com/c/coats-jackets-women-s-clothing/-/N-5xtch
6,Women's Jackets & Coats for All Seasons | REI Co-op,women Jackets & Coats,"[""Women's Jackets"", 'Jacket', ""Women's"", ""Women's"", 'Jacket']",[],Women's Jackets · Filter · REI Co-op650 Down Jacket 2.0 - Women's · REI Co-opNorseland Insulated Parka 2.0 - Women's · REI Co-opGroundbreaker Fleece Jacket 2.0 - ...,https://www.rei.com/c/womens-jackets
7,Women's Coats & Jackets,women Jackets & Coats,"[""women's jackets"", 'coats', ""women's coats"", 'jackets']",[],Looking for the latest styles of women's jackets and coats? Shop the best collection of women's coats and jackets at Macy's.,https://www.macys.com/shop/womens-clothing/womens-coats?id=269
8,Women's Coats & Jackets,women Jackets & Coats,"['coats', 'jackets', 'women', 'jackets', 'jackets']",[],"Discover ASOS latest Spring collection of lightweight coats and jackets for women. Shop today from our range of denim jackets, rain jackets, and more.",https://www.asos.com/us/women/coats-jackets/cat/?cid=2641
9,Coats & Jackets For Women | Outerwear | H&M US,women Jackets & Coats,"['coats', 'jackets', 'women', 'jackets']",[],"Top off your outfit with coats and jackets for women from H&M. From biker and jean jackets to trenches, bombers and parkas, shop for every season and style.",https://www2.hm.com/en_us/women/products/jackets-coats.html
10,Women's Coats & Jackets - Clothing,women Jackets & Coats,"[""women's"", 'coats', 'jackets']",[],Shop for women's winter coats and jackets from top brands at Amazon.com. We have a great selection in many different styles and trends from wind proof to ...,https://www.amazon.com/Womens-Coats/b?ie=UTF8&node=1044646
11,Women's Coats & Jackets,women Jackets & Coats,"[""Women's"", 'Jacket', ""Women's"", 'Coat', ""Women's""]",[],Most-loved brands. · Women's Tek Gear® Hooded Mixed-Media Jacket · Women's Lands' End Faux-Fur Hood Long Down Winter Coat · Women's Koolaburra by UGG Corduroy ...,https://www.kohls.com/catalog/womens-coats-jackets-outerwear-clothing.jsp?CN=Gender:Womens+Product:Coats%20%26%20Jackets+Category:Outerwear+Department:Clothing
12,Coats and Jackets for Women,women Jackets & Coats,"[""Women's"", 'Coats', 'coat']",[],"Women's Trench Coats. Belted and knotted at the waist or worn open, in classic black or tan, or in a bold color or pattern, a trench coat means ...",https://www.bloomingdales.com/shop/womens-apparel/coats-jackets?id=1001520
13,Women's - Coats & Jackets,women Jackets & Coats,"[""women's jackets & coats""]",[],"Gear up for cooler weather in Abercrombie & Fitch women's jackets & coats. From short to long coats & denim jackets to puffer jackets, there's a look for ...",https://www.abercrombie.com/shop/us/womens-coats-and-jackets
14,"Women's Jackets, Coats & Blazers",women Jackets & Coats,"[""women's coats"", 'jackets', 'jackets', 'jackets', 'coat']",[],"Shop women's coats and jackets at Express, including denim jackets, faux leather jackets, blazers more. Take your look to the next level with a chic coat or ...",https://www.express.com/womens-clothing/jackets/cat320022
15,Women's Coats and Jackets,women Jackets & Coats,"[""women's coats"", 'jackets', ""women's outerwear""]",[],"Make Dillard's your women's coats and rain jackets destination. Find the lastest women's outerwear from parkas, anoraks, and more at Dillard's.",https://www.dillards.com/c/women-coats
16,"Get Outerwear for Women | Denim, Rain Coats + More",women Jackets & Coats,"['outerwear', 'women', 'jackets', 'coats']",[],"Shop all outerwear for women from UNIQLO US. Browse stylish and comfortable jackets, coats & more in a variety of sizes. Free shipping available.",https://www.uniqlo.com/us/en/women/outerwear-and-blazers
17,"Women's Jackets & Coats - Denim, Bomber & More",women Jackets & Coats,"[""women's coats"", 'jackets', 'jackets', 'coats']",[],"Shop women's coats and jackets from FOREVER 21! Discover the latest jackets, coats, windbreakers, printed blazers, bombers, and more! | Forever 21.",https://www.forever21.com/us/shop/catalog/category/f21/outerwear_coats-and-jackets
18,Women's Jackets & Outerwear Sale,women Jackets & Coats,"[""women's"", ""women's jackets"", 'outerwear']",[],"The women's sale includes everything from women's jackets on sale, outerwear deals, and everything else you could need to head out on a successful adventure ...",https://www.thenorthface.com/en-us/sale/womens-sale-c317775
19,Women's Jackets & Coats,women Jackets & Coats,"[""Women's Jackets & Coats""]",[],"Shop Women's Jackets & Coats at American Eagle to find your new faves! Browse denim jackets, coats, plaid jackets, shackets, and more in new colors and ...",https://www.ae.com/us/en/c/women/tops/jackets-coats/cat4260032
