position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Lane Bryant: Plus Size Clothing for Women,women Plus Size Clothing,"[""women's plus size clothing""]",[],"The latest looks in women's plus size clothing are just a click away at Lane Bryant. Shop trendy tops, pants, stylish dresses and more in sizes 10 to 40.",https://www.lanebryant.com/
2,Trendy Plus Size Clothing for Women - Maurices,women Plus Size Clothing,"[""women's plus size clothing""]",[],"Shop women's plus size clothing at maurices for cute plus size tops, jeans, dresses & more! Free shipping on all orders over $50!",https://www.maurices.com/c/plus-sizes/N-10591
3,Plus Size Clothing for Women - Kohl's,women Plus Size Clothing,"[""women's plus clothing"", ""women's plus dresses""]",[],"Enjoy free shipping and easy returns on women's plus clothing from Kohl's. Find women's plus dresses, jeans and tops in casual, formal and work-ready ...",https://www.kohls.com/sale-event/womens-plus-clothing.jsp
4,Plus Size Clothing for Women - Torrid,women Plus Size Clothing,"[""women's plus size clothing""]",[],"Shop plus size clothing in the latest styles at Torrid! Find women's plus size clothing, dresses, lingerie, tops, jeans & more in sizes 10-30.",https://www.torrid.com/new-plus-size-clothing/
5,Plus Size Clothing for Women - Macy's,women Plus Size Clothing,"['plus size clothing', 'women', 'plus size', 'dresses', 'women']",[],"Shop plus size clothing for women at Macys.com. Huge selection of plus size fashion: swimwear, dresses & jeans from top brands for curvy women.",https://www.macys.com/shop/plus-size-clothing?id=32147
6,Women's Plus Size Clothing | Walmart.com,women Plus Size Clothing,"['plus size woman', 'dresses']",[],"Walmart offers everything for the plus size woman including coats and jackets, dresses, tops, sweaters, jeans, activewear, shoes, bras and panties, and so much ...",https://www.walmart.com/cp/womens-plus/133195
7,Women's Plus-Size Clothing - ASOS,women Plus Size Clothing,"[""Women's Plus-Size Clothing""]",[],Women's Plus-Size Clothing · ASOS DESIGN Curve v neck batwing chiffon maxi dress with embroidery detail in pine green · ASOS EDITION Curve crystal and bead mini ...,https://www.asos.com/us/women/curve-plus-size/cat/?cid=9577
8,Plus Size Clothing & Plus Size Fashion for Women - Belk,women Plus Size Clothing,"['Plus Size Clothing', 'Plus Size', 'Plus Size']",[],Plus Size Clothing (6251) · Karen Kane Plus Size Tie Front Blouse · Alfred Dunner Petite Floral Bouquet Knit Top · Kim Rogers® Plus Size 3/4 Sleeve Crew Neck ...,https://www.belk.com/women/plus-size-clothing/
9,Plus Size Women's Clothing | Forever 21,women Plus Size Clothing,"['plus size', 'dresses']",[],"Shop the latest in plus size fashion at Forever 21 including sweaters, jackets, wide width boots, jeans, tops and dresses. New Fall and Winter fashion ...",https://www.forever21.com/us/shop/catalog/category/plus/plus_size-main
10,Plus Size Women's Clothing - Dressbarn,women Plus Size Clothing,"['Dress Plus', 'Plus', 'Size']",[],Faye Long Sleeve Wrap Dress Plus. $193.95. $116.37. with code C3L3B. Cocomo Buckle Chain Print Popover - Plus - Front. cart. Add to Cart. Select Size.,https://dressbarn.com/collections/plus-size-womens-clothing
11,Women's Plus Size Clothing - Dresses and Tops - JCPenney,women Plus Size Clothing,"[""women's plus size clothes""]",[],"Shop women's plus size clothes at JCPenney! Browse an assortment of plus dresses, shirts, tops, jeans, and activewwear at great prices.",https://www.jcpenney.com/g/women/womens-plus-size?id=cat1009580001
12,Plus Size Clothing For Women - Nordstrom,women Plus Size Clothing,"[""Women's Plus Size Clothing""]",[],Women's Plus Size Clothing · Fits Everybody Square Neck Sleeveless Bodysuit (Regular & Plus Size) · Soft Lounge Long Sleeve Dress (Regular & Plus Size) · Boyfriend ...,https://www.nordstrom.com/browse/women/clothing/plus-size
13,Plus Size Affordable Fashion at Avenue.com | Shop Women's ...,women Plus Size Clothing,"['plus size dresses', 'plus size apparel']",[],View our range of affordable plus size dresses for every occasion. Avenue.com has all your plus size apparel and wide width footwear covered.,https://www.avenue.com/
14,"Woman Within: Comfortable, Casual Plus Size Clothing for ...",women Plus Size Clothing,"['Woman', 'plus size clothing', 'plus size women']",[],"Woman Within has plus size clothing in sizes 12w-44w. Colorful, comfortable basics at low prices for plus size women.",https://www.womanwithin.com/
15,Plus Size Clothing - Target,women Plus Size Clothing,"['Plus Size Clothing', ""Women's Plus Size""]",[],Shop Target for Plus Size Clothing you will love at great low prices. ... Women's Plus Size Short Sleeve V-Neck T-Shirt - Ava & Viv™ · Ava & Viv.,https://www.target.com/c/plus-size-clothing-women/-/N-5ouvj
16,Size Clothing for Women | Plus Size Fashion | boohoo USA,women Plus Size Clothing,"['plus size clothing', 'plus size dresses']",[],"Looking for on trend plus size clothing? Look no further. Shop boohoo USA 's curvy fashion to find plus size dresses, tops, pants and so much more.",https://us.boohoo.com/womens/plus-size-curve-clothing
17,Women's Plus Size Clothing - Dillard's,women Plus Size Clothing,"[""Women's Plus Size Clothing""]",[],Women's Plus Size Clothing · MarinaPlus Size Boat Neck Long Beaded Sleeve Elastic Cuff Back Slit Matte Jersey Gown · Calvin KleinPlus Size Round Neck 3/4 Bell ...,https://www.dillards.com/c/women-plus
