position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Concepts Sport Womens Pajamas in Womens ... - Walmart.com,women Sport Pajamas,"['Sport Womens Pajamas', 'Womens Pajamas', ""Women's"", 'Sport']",[],Concepts Sport Womens Pajamas in Womens Pajamas & Loungewear(376). Women's Concepts Sport Navy/Gold Nashville Predators Plus Size Ethos Sleep Set.,https://www.walmart.com/browse/clothing/womens-pajamas/concepts-sport/5438_133162_5358743_5541780/YnJhbmQ6Q29uY2VwdHMgU3BvcnQie
2,Women's CONCEPTS SPORT Pajamas & Robes | Nordstrom,women Sport Pajamas,"[""Women's"", 'SPORT Sleepwear']",[],Free shipping and returns on Women's CONCEPTS SPORT Sleepwear & Robes at Nordstrom.com.,https://www.nordstrom.com/browse/women/clothing/sleepwear-robes?filterByBrand=concepts-sport
3,Sports / Women's Novelty Sleep & Loungewear... - Amazon.com,women Sport Pajamas,['Pajamas'],[],"Online shopping for Clothing, Shoes & Jewelry from a great selection of Sets, One-Piece Pajamas, Nightgowns & Sleepshirts, Bottoms, Tops, Robes & more at ...",https://www.amazon.com/Womens-Novelty-Sleep-Loungewear-Sports-Clothing/s?keywords=Women%27s+Novelty+Sleep+%26+Loungewear&rh=n%3A9056942011%2Cp_n_theme_browse-bin%3A9214033011&c=ts&ts_id=9056942011
4,"Ladies NFL Pajama Pants, NFL Sleepwear, Sleep Sets",women Sport Pajamas,"['Pajamas', 'Sleepwear', ""Sport Women's""]",[],NFL Ladies Pajamas and Sleepwear are stocked at Fanatics. ... Dallas Cowboys Concepts Sport Women's Muscle Tank Top & Pants Sleep Set - Navy/Silver.,https://www.fanatics.com/nfl/ladies-pajamas-and-underwear-sleepwear/o-3505+ga-91+d-42558914-9789694+z-9-2989072173
5,athletic: Women's Pajamas & Sleepwear | Dillard's,women Sport Pajamas,"['athletic', ""Women's Pajamas"", 'Sleepwear', 'Pajama']",[],athletic : Women's Pajamas & Sleepwear · Roller RabbitKnit Family Matching Elephant Print Henley Coordinating Pajama Set · Roller RabbitFamily Matching Knit Heart ...,https://www.dillards.com/search-term/athletic/lingerie-pajamas-sleepwear
6,Athletic : Pajamas & Loungewear for Women - Target,women Sport Pajamas,"[""Women's"", 'Athletic', 'Pajamas']",[],"Target/Clothing, Shoes & Accessories/Women's Clothing/Athletic : Pajamas & Loungewear (10)‎. How are you shopping today? Pickup.",https://www.target.com/c/sleepwear-pajamas-robes-women-s-clothing/athletic/-/N-5xtc3Za6tgo
1,Pajamas & Loungewear for Women - Target,women Sport Pajamas,"[""women's pjs"", 'pajamas', 'pajama', 'pajama', 'pajama', 'sleepwear']",[],"Enjoy cozy evenings spent at home with our range of women's pjs, ladies' pajamas, pajama tops, pajama bottoms and pajama sets. There's no doubt that sleepwear ...",https://www.target.com/c/sleepwear-pajamas-robes-women-s-clothing/-/N-5xtc3
2,Pajama Pants & Shorts for Women - Target,women Sport Pajamas,"[""Women's"", 'Pajamas', 'Pajama']",[],"Target/Clothing, Shoes & Accessories/Women's Clothing/Pajamas & Loungewear/Pajama Bottoms (408)‎. How are you shopping today? Pickup.",https://www.target.com/c/pajama-bottoms-pajamas-loungewear-women-s-clothing/-/N-5xtc2
3,Women's Pajama Bottoms & Pajama Pants - Belk,women Sport Pajamas,"[""Women's Pajamas"", 'pajama', 'Sport', 'Pajama']",[],"Keep cozy with the latest selection of Women's Pajamas at Belk. Shop pajama bottoms, pants ... Concepts Sport HBCU NC A&T Aggies Plaid Fleece Pajama Pants.",https://www.belk.com/women/womens-clothing/pajamas-robes/bottoms/
4,Workout Pajamas - Etsy,women Sport Pajamas,"['Women', 'Athletic', 'Sports']",[],"Custom Face Leggings,Personalized Pet Photo Kid's Leggings,Low Rise Yoga Leggings,Women Yoga Pants,Workout Athletic Fitness Sports Pants.",https://www.etsy.com/market/workout_pajamas
5,"Official LA Clippers Ladies Sleepwear, Underwear, Pajamas ...",women Sport Pajamas,"['pajamas', ""Women's"", 'Sport']",[],"Browse our selection of underwear, boxers, pajamas, robes, and other great ... Women's LA Clippers Concepts Sport Royal/Red Ethos T-Shirt & Pants Sleep Set.",https://store.nba.com/la-clippers/women-sleepwear-and-underwear/t-69698534+ga-79+d-89382850+z-7-1193686484
6,Women's Rails Pajamas & Robes | Nordstrom,women Sport Pajamas,"[""Women's"", 'Sleepwear']",[],Free shipping and returns on Women's Rails Sleepwear & Robes at Nordstrom.com.,https://www.nordstrom.com/browse/women/clothing/sleepwear-robes?filterByBrand=rails
