position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Women's Tops | Blouses & T-shirts - JCPenney,women Tops & Shirts,"[""women's tops"", 'blouses']",[],"Shop JCPenney for an incredible selection of women's tops, from blouses to button-downs to sweatshirts and everything in between.",https://www.jcpenney.com/g/women/tops?id=cat100210006
2,Tops & Shirts for Women - Target,women Tops & Shirts,['Tops'],[],"Shop Target for Tops you will love at great low prices. Choose from Same Day Delivery, Drive Up or Order Pickup. Free standard shipping with $35 orders.",https://www.target.com/c/tops-women-s-clothing/-/N-5xtbq
3,Ladies Tops And Blouses - Amazon.com,women Tops & Shirts,"['Womens Blouse', 'Shirts', 'Tops', ""Women's"", 'Tops']",[],Womens Blouse V Neck Ruffle Sleeve Flowy Pom Pom Flowy Shirts Dressy Casual Cute Summer Tops · Dokotoo Women's Casual Boho Solid Color V Neck Tops Drawstring ...,https://www.amazon.com/ladies-tops-blouses/s?k=ladies+tops+and+blouses
4,"Amazon Best Sellers: Best Women's Tops, Tees & Blouses",women Tops & Shirts,"[""Women's Tops"", 'Blouses']",[],"Discover the best Women's Tops, Tees & Blouses in Best Sellers. Find the top 100 most popular items in Amazon Clothing, Shoes & Jewelry Best Sellers.","https://www.amazon.com/Best-Sellers-Women%27s-Tops,-Tees-Blouses/zgbs/fashion/2368343011"
5,"Women's Tops, Blouses & Shirts | Ann Taylor",women Tops & Shirts,"['blouses', 'shirts', 'tops', ""women's tops""]",[],"Find a stylish selection of blouses, shirts & tops at Ann Taylor. From casual to dressy, shop women's tops in irresistible patterns, colors and styles ...",https://www.anntaylor.com/tops-and-blouses/cata000010
6,Cute Shirts & Tops For Women - Kohl's,women Tops & Shirts,"[""Women's Tops""]",[],Enjoy free shipping and easy returns every day at Kohl's. Find great deals on Women's Tops at Kohl's today!,https://www.kohls.com/catalog/womens-tops-clothing.jsp?CN=Gender:Womens+Category:Tops+Department:Clothing
7,Womens Tops - Macy's,women Tops & Shirts,"['Womens Shirts', 'Blouses', 'Tops', 'Womens Tops']",[],"Shop Online at Macys.com for the Latest Womens Shirts, Tunics, Blouses, Halter Tops & More Womens Tops. FREE SHIPPING AVAILABLE!",https://www.macys.com/shop/womens-clothing/womens-tops?id=255
8,Women's Tops | Nordstrom,women Tops & Shirts,"[""women's tops"", 'blouses']",[],"Free shipping and returns on women's tops, blouses, tees, tanks, bodysuits and more. Shop top brands like Free People, Madewell, Vince Camuto, Topshop, ...",https://www.nordstrom.com/browse/women/clothing/tops-tees
9,Women's Tops & Dressy Tops | Dillard's,women Tops & Shirts,"[""women's tops and blouses""]",[],"Find a great selection of women's tops and blouses at Dillard's. Offered in the latest styles and materials from tunics, tanks, camisoles and poncho ...",https://www.dillards.com/c/women-tops
10,"Women's Tops- Shirts, Blouses and Tees - Express",women Tops & Shirts,"[""women's shirts"", 'blouses', 'shirts', 'tops']",[],"Shop women's shirts and blouses at Express. From button-up dress shirts like our Portofino, to cozy cardigans and long sleeve tops for work, ...",https://www.express.com/womens-clothing/tops/cat430028
