position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Women's Tunics,women Tunics,['womens tunics'],[],Shop for womens tunics on Amazon.com. Free shipping and free returns on eligible items.,https://www.amazon.com/Womens-Tunics/b?ie=UTF8&node=5418125011
2,Best Women's Tunics,women Tunics,"[""Women's Tunics""]",[],"Discover the best Women's Tunics in Best Sellers. Find the top 100 most popular items in Amazon Clothing, Shoes & Jewelry Best Sellers.",https://www.amazon.com/Best-Sellers-Women's-Tunics/zgbs/fashion/5418125011
3,"Women's Tunics - Cotton, Henley, V-Neck, Linen, Zenergy",women Tunics,"['Tunics', 'Women', 'Tunics', 'Women']",[],Shop a great selection of Tunics for Women at Chico's. Find designer Tunics for Women get free shipping on orders over $125. Free shipping for Passport ...,https://www.chicos.com/store/category/tunics/cat11199297/
4,Tunics for Women,women Tunics,"['Tunics', 'Women', 'Tunics', 'Women']",[],Shop a great selection of Tunics for Women at Nordstrom Rack. Find designer Tunics for Women up to 70% off and get free shipping on orders over $100.,https://www.nordstromrack.com/c/women/clothing/tops/tunics
5,Tunic Tops - Tunics For Women,women Tunics,"['Tunic', 'Tunic']",[],Pure Jill Marbled Clouds Tunic. $99. Image for Buttoned-Henley Tunic. Quick Look. Swatch image of thyme heather enchanting floral for ...,https://www.jjill.com/shop/womens-clothing/tunics--2
6,Women's Tunic Tops,women Tunics,"[""Women's Tunics""]",[],Women's Tunics · Eileen FisherStretch Knit Jersey Scrunch Mock Neck Long Sleeve Tunic · Vince Camuto3/4 Flutter Sleeve V-Neck Crisscross Front Tunic · Ali Miles ...,https://www.dillards.com/c/women-tops-tunics
7,Tunic Tops & Sweaters for Women,women Tunics,"[""Women's Tunics"", ""women's tunics""]",[],"Women's Tunics. Start the summer in style in an easy, breezy tunic top! Kohl's has a wide selection of women's tunics that will keep you looking and feeling ...",https://www.kohls.com/catalog/womens-tunics-tops-clothing.jsp?CN=Gender:Womens+Silhouette:Tunics+Category:Tops+Department:Clothing
8,Tunic Tops for Women,women Tunics,"[""women's Tunic""]",[],Shop the latest trends and deals on women's Tunic tops at macys.com for designer brands & styles with free shipping & curbsie pickup ...,https://www.macys.com/shop/womens-clothing/womens-tops/Top_style/Tunic?id=255
9,Women's Tunic Tops,women Tunics,"[""Women's Tunic""]",[],Women's Tunic Tops · V-Neck Long Sleeve Tunic Top · Mikayla Print Long Sleeve Tunic · Crewneck Long Sleeve Tunic Top · Brushed Plaid Tunic Shirt (Regular & Petite).,https://www.nordstrom.com/browse/women/clothing/tops-tees?filterByStyle=tunic
10,Tunics for Women - Save Up to 70%,women Tunics,"['tunics', 'women', 'tunics']",[],"Shop zulily and save up to 70% on cute tunics for women. Browse stylish tunics that are easy to wear & easy to pair, along with full outfits complete with ...",https://www.zulily.com/womens-tunics
11,Shop Tunic Tops and Tunics for Women,women Tunics,"['tunic tops', 'women']",[],Shop our wide selection of tunic tops for women and find the right one for you. Take advantage of free shipping on all qualifying online orders from Belk.,https://www.belk.com/women/womens-clothing/tops/tunics/
12,Women's Tunic Tops | Long & 3/4 Sleeve Tops,women Tunics,"['tunic tops', 'women', 'tunic tops']",[],"JCPenney carries an extensive range of tunic tops for women from top brands. Find tunic tops in plenty of colors, styles, & sizes. Free shipping available!",https://www.jcpenney.com/g/women/tops?item_type=tunic+tops&id=cat100210006
13,Tunic Tops for Women,women Tunics,"[""women's tunic""]",[],Shop quality women's tunic tops at Lands' End. Free shipping available. Shop Tunic Tops for Women now!,https://www.landsend.com/shop/womens-tunic-tops/S-xfe-xez-y5c-y0g-xec
14,Womens Tunic Tops,women Tunics,['womens tunic'],[],"Shop Target for womens tunic tops you will love at great low prices. Choose from Same Day Delivery, Drive Up or Order Pickup plus free shipping on orders ...",https://www.target.com/s/womens+tunic+tops
15,Women's Tunic Tops & Blouses,women Tunics,"['tunic tops', 'tunic']",[],"Flowing tunic tops and blouses in misses sizes are versatile pieces that belong in every wardrobe. Explore our tunic shop for a variety of styles, ...",https://www.coldwatercreek.com/misses/shirts-and-blouses/tunics
16,"Multi / Women's Tunics / Women's Tops, Tees & Blouses",women Tunics,['Womens Tops'],[],"Amazon Essentials Women's Short-Sleeve Scoopneck Tunic, Pack of 2 ... Womens Tops Hide Belly Tunic 2022 Summer Short Sleeve T Shirts Long Flowy Tshirt ...",https://www.amazon.com/Womens-Tunics-Multi-Tops-Tees-Blouses/s?keywords=Women%27s+Tunics&rh=n%3A5418125011%2Cp_n_size_browse-vebin%3A2343357011&c=ts&ts_id=5418125011
17,Cheap Tunics For Women,women Tunics,"[""Women's"", 'Tunic']",[],RESULTS. Price and other details may vary based on product size and color. Daily Ritual Women's Jersey Standard-Fit Short-Sleeve Open Crewneck Tunic.,https://www.amazon.com/cheap-tunics-women/s?k=cheap+tunics+for+women
18,Women's Tunics - Long Sleeve,women Tunics,"['Womens', 'Tunic Tops']",[],Price and other details may vary based on product size and color. Womens Casual Sweatshirts Long Sleeve Shirts Oversized With Pocket Tunic Tops S-2XL.,https://www.amazon.com/Womens-Tunics-Long-Sleeve/s?keywords=Women%27s+Tunics&rh=n%3A5418125011%2Cp_n_feature_browse-bin%3A368723011&c=ts&ts_id=5418125011
19,"Browns / Women's Tunics / Women's Tops, Tees & Blouses",women Tunics,"[""Women's Tunics""]",[],Women's Tunics. Filters (2). RESULTS. Price and other details may vary based on product size and color. Womens Casual Tunic Tops Long Sleeve Twist Knot T ...,https://www.amazon.com/Womens-Tunics-Browns-Tops-Tees-Blouses/s?keywords=Women%27s+Tunics&rh=n%3A5418125011%2Cp_n_size_browse-vebin%3A2343351011&c=ts&ts_id=5418125011
20,"Pinks / Women's Tunics / Women's Tops, Tees & Blouses",women Tunics,['Womens Tunic'],[],Price and other details may vary based on product size and color. BZB Womens Tunic Tops for Leggings Square Neck Puff Sleeve Shirts Casual Fall ...,https://www.amazon.com/Womens-Tunics-Pinks-Tops-Tees-Blouses/s?keywords=Women%27s+Tunics&rh=n%3A5418125011%2Cp_n_size_browse-vebin%3A2343359011&c=ts&ts_id=5418125011
21,"POPYOUNG / Women's Tunics / Women's Tops, Tees & ...",women Tunics,"[""Women's"", 'Tunic Tops']",[],RESULTS. Price and other details may vary based on product size and color. POPYOUNG Women's Fall Long Sleeve Tunic Tops for Leggings V-Neck Casual Blouse T-.,https://www.amazon.com/Womens-Tunics-POPYOUNG-Tops-Tees-Blouses/s?keywords=Women%27s+Tunics&rh=n%3A5418125011%2Cp_89%3APOPYOUNG&c=ts&ts_id=5418125011
22,Western Tunics For Women,women Tunics,"['Womens', 'Tunics Tops']",[],Price and other details may vary based on product size and color. Womens Long Tunics Tops for Leggings Western Aztec Print Loose Basic T-Shirts Long Sleeve.,https://www.amazon.com/western-tunics-women/s?k=western+tunics+for+women
23,"Greens / Women's Tunics / Women's Tops, Tees & Blouses",women Tunics,"['Womens', 'Tunic Tops']",[],Price and other details may vary based on product size and color. Womens Casual Sweatshirts Long Sleeve Shirts Oversized With Pocket Tunic Tops S-2XL.,https://www.amazon.com/Womens-Tunics-Greens-Tops-Tees-Blouses/s?keywords=Women%27s+Tunics&rh=n%3A5418125011%2Cp_n_size_browse-vebin%3A2343355011&c=ts&ts_id=5418125011
24,"Plus Size / Women's Tunics / Women's Tops, Tees & Blouses",women Tunics,"['Tops', 'Women', 'Tunic']",[],RESULTS. Price and other details may vary based on product size and color. Shiaili Plus Size Tops for Women Long Tunic Shirts to pair with Leggings.,https://www.amazon.com/Womens-Tunics-Plus-Size/s?keywords=Women%27s+Tunics&rh=n%3A5418125011%2Cp_n_shoe_width_browse-vebin%3A492379011&c=ts&ts_id=5418125011
25,Fall Tunics For Women,women Tunics,"['Womens', 'Tunic Tops']",[],Price and other details may vary based on product size and color. Womens Casual Sweatshirts Long Sleeve Shirts Oversized With Pocket Tunic Tops S-2XL.,https://www.amazon.com/fall-tunics-women/s?k=fall+tunics+for+women
26,"Greys / Women's Tunics / Women's Tops, Tees & Blouses",women Tunics,"[""Women's"", 'Tunic', 'Womens', 'Tunic Tops', ""Women's""]",[],Women's Jersey Standard-Fit Short-Sleeve Open Crewneck Tunic · Womens Casual Long Sleeve Shirts Lightweight Sweatshirts Fashion Tunic Tops with Pockets · Women's ...,https://www.amazon.com/Womens-Tunics-Greys-Tops-Tees-Blouses/s?keywords=Women%27s+Tunics&rh=n%3A5418125011%2Cp_n_size_browse-vebin%3A2343354011&c=ts&ts_id=5418125011
27,"XS / Women's Tunics / Women's Tops, Tees & Blouses",women Tunics,"[""Women's"", 'Tunic', 'Womens', 'Tunic Tops']",[],"Women's Jersey Relaxed-Fit Long-Sleeve Scoopneck Swing Tunic · Womens Long Sleeve Tunic Tops for Leggings Casual Pullover Crew Neck Sweater for Fall, Winter, ...",https://www.amazon.com/Womens-Tunics-XS-Tops-Tees-Blouses/s?keywords=Women%27s+Tunics&rh=n%3A5418125011%2Cp_n_size_three_browse-vebin%3A2475478011&c=ts&ts_id=5418125011
