position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,Pajamas For Women - Amazon.com,women home pajamas,"[""Women's Pajama"", 'Womens', 'Pajamas', 'Sleepwear']",[],2 Pack: Women's Pajama Set Super-Soft Short & Long Sleeve Top With Pants · SWOMOG Womens Silk Satin Pajamas Loungewear Two-piece Sleepwear Button-Down Pj Set.,https://www.amazon.com/pajamas-women/s?k=pajamas+for+women
2,100% Cotton Women Sleepwear Pajama Sets - Amazon.com,women home pajamas,"[""Women's"", 'Pajama']",[],Price and other details may vary based on product size and color. Amazon Essentials Women's Snug-Fit Cotton Pajama Set (Available in Plus Size).,https://www.amazon.com/womens-pajamas-Sleepwear-Lingerie-Sleep-Lounge/s?k=women%27s+pajamas&rh=n%3A2376202011
3,Amazon Best Sellers: Best Women's Pajama Sets,women home pajamas,"[""Women's Pajama""]",[],"Discover the best Women's Pajama Sets in Best Sellers. Find the top 100 most popular items in Amazon Clothing, Shoes & Jewelry Best Sellers.",https://www.amazon.com/Best-Sellers-Women's-Pajama-Sets/zgbs/fashion/1044894
4,Womens Pajamas & Loungewear - Walmart,women home pajamas,"[""Women's"", 'Pajama', ""Women's"", 'Pajama']",[],"Joyspun Women's Plush Long Sleeve Top and Pants Pajama Set, 2-Piece, Sizes. +4 options ... Joyspun Women's Satin Pajama Sleep Set, 2-Piece, Sizes up to 3X.",https://www.walmart.com/cp/womens-pajamas-loungewear/5358743
5,Womens Pajamas & Loungewear in Womens Clothing - Walmart,women home pajamas,"['Womens Pajamas', 'Womens', ""Women's""]",[],"Shop for Womens Pajamas & Loungewear in Womens Clothing. Buy products such as Joyspun Women's Scallop Trim Top and Capri Pants Sleep Set, 2-Piece, ...",https://www.walmart.com/browse/clothing/womens-pajamas-loungewear/5438_133162_5358743
6,Pajamas & Loungewear for Women - Target,women home pajamas,"['home', ""women's"", 'ladies', 'pajamas', 'pajama', 'pajama', 'pajama', 'sleepwear']",[],"Enjoy cozy evenings spent at home with our range of women's pjs, ladies' pajamas, pajama tops, pajama bottoms and pajama sets. There's no doubt that sleepwear ...",https://www.target.com/c/sleepwear-pajamas-robes-women-s-clothing/-/N-5xtc3
7,Women's Pajamas & Robes - Nordstrom,women home pajamas,"[""women's sleepwear"", 'pajamas', 'pajamas']",[],"Free shipping on women's sleepwear, pajamas, loungewear, and robes at Nordstrom.com. Shop for pajamas, nighties, tanks, shorts, joggers, chemises, ...",https://www.nordstrom.com/browse/women/clothing/sleepwear-robes
8,The 14 Very Best Pajamas for Women - New York Magazine,women home pajamas,"['pajamas', 'house', 'pajamas']",[],"Our list of very best of the best pajamas feature pairs from J.Crew, ... around the house in pajamas” at 3 p.m., as she is wont to do.",https://nymag.com/strategist/article/best-pajamas-for-women.html
9,Women's Pajamas & Women's Robes - Macy's,women home pajamas,"['Pajamas', 'pajamas', 'sleepwear', 'women']",[],"Buy Pajamas and Robes at Macy's and get FREE SHIPPING! Great selection of night gowns, pajamas and other sleepwear for women.",https://www.macys.com/shop/womens-clothing/pajamas-and-robes?id=59737
10,Women's Pajamas: Shop Cozy Sleepwear & ... - Kohl's,women home pajamas,"[""Women's"", 'Home', 'pajamas', 'pajamas']",[],Women's Work From Home PJs. Are you looking to swap out the actual pajamas that you wore to bed for a pair of “daytime” pajamas? It's easy to just spend the ...,https://www.kohls.com/catalog/womens-sleepwear-clothing.jsp?CN=Gender:Womens+Category:Sleepwear+Department:Clothing
11,Women's 100% Cotton Pajamas Set - Amazon.com,women home pajamas,"[""Women's"", 'Pajama', 'Pajamas', 'Women', 'Womens']",[],"Amazon Essentials Women's Cotton Modal Long-Sleeve Shirt and Full-Length Bottom Pajama Set · PajamaGram Pajamas For Women - Womens PJ Sets, Pullover Top, 100% ...",https://www.amazon.com/womens-100-cotton-pajamas-set/s?k=women%27s+100%25+cotton+pajamas+set
12,Amazon.com: Women's Sleepwear,women home pajamas,"[""Women's Sleepwear"", 'Womens Pajama', 'Sleepwear', 'Nightwear']",[],ENJOYNIGHT Women's Sleepwear Cotton Sleep Tee Short Sleeves Print Sleepshirt · Ekouaer Womens Pajama Set Long Sleeve Sleepwear Star Print Nightwear Soft Pjs ...,https://www.amazon.com/Womens-Loungewear-and-Sleepwear/b?ie=UTF8&node=2376202011
