position,query,snippet_highlighted_words,rich_snippet_list,snippet,link
1,skirts,['skirts'],[],"Free shipping and returns on women's skirts. Shop for mini, maxi, pencil, high waisted, denim, and more from top brands like Topshop, Free people, Caslon, ...",https://www.nordstrom.com/browse/women/clothing/skirts
2,skirts,"['Skirts', 'skirts', 'skirts']",[],"FREE SHIPPING available on a huge assortment of Skirts for Women at Macys.com. Shop deals on mini skirts, pleated skirts, pencil, maxi, ...",https://www.macys.com/shop/womens-clothing/womens-skirts?id=131
3,skirts,['skirts'],[],Shop a wide selection of styles and brands for skirts at Amazon.com. Free shipping and free returns on eligible items.,https://www.amazon.com/Skirts/b?ie=UTF8&node=1045022
4,skirts,"['skirts', 'skirts']",[],"Discover the latest skirts with ASOS. Shop a variety of styles including denim and leather skirts, plus midi and maxi lengths. Order now with ASOS.",https://www.asos.com/us/women/skirts/cat/?cid=2639
5,skirts,"['skirts', 'skirts']",[],Lulus is the best place to buy skirts online in the newest styles at great prices! Snag women's casual skirts and dressed-up looks in our boutique.,https://www.lulus.com/categories/11_66/skirts.html
6,skirts,"['skirt', 'skirts']",[],Need a versatile skirt for every occasion? You'll find women's skirts at Nordstrom Rack from all your favorite brands for up to 70% off. Shop today.,https://www.nordstromrack.com/shop/women/clothing/skirts
7,skirts,"['skirts', 'skirts']",[],"Find a great selection of women's skirts at Dillard's. Offered in the latest styles and materials from maxi, pencil, A-lines and midi skirts Dillard's has ...",https://www.dillards.com/c/women-skirts
8,skirts,['Skirts'],[],"Shop Target for Skirts you will love at great low prices. Choose from Same Day Delivery, Drive Up or Order Pickup. Free standard shipping with $35 orders.",https://www.target.com/c/skirts-women-s-clothing/-/N-5xtc4
9,skirts,"['skirts', 'skirts', 'skirt']",[],"Choose from breezy maxi skirts to trendy pleated skirts, and every length and look in between. We love the day-to-night versatility of a satin midi skirt; wear ...",https://www2.hm.com/en_us/women/products/skirts.html
10,skirts,"['skirts', 'skirts']",[],"Explore our great selection of women's skirts, in maxi, midi, mini, and knee-length, pencil skirts, flared, pleated designs to create a personalized outfit.",https://steinmart.com/collections/skirts
11,skirts,['skirts'],[],Shop the latest styles of women's designer skirts from your favorite luxury labels at Neiman Marcus. Enjoy free shipping and free returns!,https://www.neimanmarcus.com/c/womens-clothing-clothing-skirts-cat17740750
12,skirts,"['Skirts', 'skirt']",[],One of our favorite pieces for any season? Skirts. We love the versatile maxi skirt for staying warm or catching a breeze. There's nothing better than a ...,https://bohme.com/collections/skirts
13,skirts,['skirt'],[],Find the perfect designer skirt for any occasion at Bloomingdale's. Free shipping and returns available or buy online and pick up in-store!,https://www.bloomingdales.com/shop/womens-apparel/skirts?id=19951
14,skirts,"['skirt', 'skirts', 'skirts']",[],We have a skirt for every day and a fit for everybody. Pencil skirts add refinement for day-to-night dressing. Wrap skirts have a timeless ...,https://www.jjill.com/shop/womens-clothing/skirts
15,skirts,['Skirts'],[],"Shop for Designer Skirts for Women at REVOLVE CLOTHING. Styles include Denim, Circle, Leather, Maxi, Midi, Mini, Pencil and more from top fashion brands!",https://www.revolve.com/skirts/br/8b6a66/
16,skirts,['skirts'],[],"Shop our collection of mini, midi, & maxi skirts! FREE Standard Shipping on all orders & returns of $65 or more!",https://www.francescas.com/category/clothing/mini-midi-maxi-skirts
17,skirts,"['skirts', 'skirts']",[],"Find stylish women's skirts at Ann Taylor. In irresistible styles, colors and lengths perfect for any occasion, shop skirts you'll love today!",https://www.anntaylor.com/skirts/cata000016
18,skirts,"['skirt', 'skirts', 'skirts', 'skirts']",[],"Find the perfect women's skirt at Abercrombie & Fitch. From neutral tones to vibrant colors, shop denim skirts, midi skirts, maxi skirts & more.",https://www.abercrombie.com/shop/us/womens-skirts-bottoms
